Gene,ES1,ES2,ES3,ET1,ET2,ET3,LS1,LS2,LS3,LT1,LT2,LT3,M1,M2,M3,MT1,MT2,MT3,S1,S2,S3,YR1,YR2,YR3,GII,GV
PF3D7_1459600,40546.2309,34992.041,38914.4634,51258.6188,36705.9057,36223.3655,22041.3898,26608.9997,39872.0107,40312.1545,45371.3088,45275.1916,8423.734,28083.9238,17619.0933,23278.703,34971.9434,40711.2032,34135.9754,25312.7967,36283.2702,64772.2723,52216.9716,61886.7491,6756.8898,14111.3003
PF3D7_1459700,25769.9525,21176.2836,29166.9649,1055.6355,2568.3193,4808.9191,7828.7794,8639.1507,18326.5687,51252.7502,42676.0084,33223.4278,1004.5861,9223.8323,6665.6437,14094.4583,39075.8281,39132.8367,10207.3397,31969.2583,11726.4577,1327.5914,818.1819,2233.7422,23640.9844,23512.5168
PF3D7_1459800,126610.5101,87580.6338,105748.4894,45409.6178,70088.3408,76269.844,57730.4784,50766.0001,103326.4924,148174.9008,153051.426,142275.7662,8517.7138,45043.5769,39591.0887,109536.836,134231.949,125980.5499,91099.3739,82668.5761,55784.988,24033.0696,44281.3591,36982.7913,635791.5677,539035.3126
PF3D7_1459900,15407.6592,14728.2642,17305.0718,131.6046,258.4858,525.0045,35686.6788,32689.1437,26048.0161,388.388,4446.6727,6009.9498,1150.356,23248.4324,12189.3015,391.8794,654.4634,73.5592,43793.6457,7207.2271,17030.9178,2007.6961,756.1424,1747.1152,4364.6158,7251.7977
PF3D7_1460000,2301.7188,1222.3474,6901.354,282.5236,55.4907,169.0588,2914.5393,9334.5425,6157.3563,729.554,578.5419,482.3148,1852.1539,7486.3219,3776.7539,0,0,236.871,3436.56,1036.0841,4725.0831,1436.6808,664.0595,496.4079,13430.0238,14455.8809
PF3D7_1460100,5246.8179,7021.646,16086.588,5100.6275,5464.4654,7214.188,15603.3343,16893.444,10157.3557,2993.4616,4807.0213,3908.5345,12096.1017,16177.8409,11290.3408,7766.6682,6197.1726,5637.1049,6647.465,14624.1181,6483.7464,5993.1492,6054.9518,6563.1212,38958.1336,105592.8262
PF3D7_1460200,22518.9303,14960.1311,25534.0863,1224.625,4301.2362,6954.4292,13942.6825,13090.4696,20121.3608,33377.0974,27290.1557,21336.8153,2439.9842,15525.1773,9010.7605,23094.9365,27405.0015,28990.2948,14395.3831,13525.847,9875.2733,3418.9799,903.0363,7144.2955,19749.6548,34995.839
PF3D7_1460300,125158.5981,82578.3131,135698.6917,438692.4443,520454.5486,475479.8424,49056.2632,40410.231,82556.9837,263176.2652,206947.565,199712.2971,34948.5392,43235.1619,47545.7149,518439.2487,353977.1681,310935.2376,80872.6489,110518.2523,45519.6124,195567.3526,349665.766,345735.405,96615.1702,57767.1243
PF3D7_1460400,39432.1175,18092.819,24051.6909,30133.7681,42124.7258,42503.2883,11819.7321,10250.0534,21335.1387,51667.8602,48877.5092,50688.7741,5459.4873,11950.1288,10533.0762,57416.1319,41286.2395,46103.4084,16196.4677,11426.6785,11802.6715,14040.0604,42440.6593,23081.5626,315108.9432,118344.8294
PF3D7_1460500,21920.666,43383.2477,26805.1193,1038.7981,5174.7704,5027.4848,12886.5218,24286.5488,33337.5864,19522.6121,30342.0241,31083.2469,1858.4341,20676.5171,11216.0799,10322.1032,18023.8555,23148.507,22464.6247,41695.5225,39936.0736,2902.454,798.9771,2736.7154,8480.3284,15712.6578
