Gene,ES1,ES2,ES3,ET1,ET2,ET3,LS1,LS2,LS3,LT1,LT2,LT3,M1,M2,M3,MT1,MT2,MT3,S1,S2,S3,YR1,YR2,YR3,GII,GV
PF3D7_0100100,15772.6034,21560.2763,6211.502,2732.4029,5348.0693,3345.9044,13095.9098,21237.8155,14404.1044,5031.1066,7736.1362,9816.0822,4595.0611,35635.0298,15472.7398,4634.1438,4962.6127,5232.4978,16009.2096,18797.6892,14149.192,2809.1532,2693.0622,4054.1501,3309.5662,961.8954
PF3D7_0100200,4100.713,2556.4523,13051.74,4136.1452,9632.5515,25103.7886,3192.9075,8018.1815,12417.7541,653.9186,983.1079,1639.1814,807.0099,9829.1842,5359.9075,25658.7707,4866.7364,2889.8262,6738.1122,4189.3321,4617.0812,8826.3509,7098.4795,2941.5715,1306.4156,1495.0603
PF3D7_0100300,52.7554,50.4292,363.4756,961.6038,583.7783,976.4577,128.8311,128.9418,213.8502,64.4968,22.3766,18.6547,71.6368,566.236,605.1701,65.0766,135.8525,146.5854,37.9765,213.7236,311.5816,870.5539,1301.332,2099.182,0,98.3064
PF3D7_0100400,30453.5259,13366.3163,34132.5829,9950.4671,26691.245,72528.3671,20460.1573,22644.3316,40716.9092,11746.2212,12371.2746,18018.4657,2873.3484,25613.4536,28232.1996,58553.5968,20146.7263,22564.7074,22539.7705,7228.6603,22760.5733,3915.4629,9429.5053,6549.361,2828.6002,1598.5414
PF3D7_0100600,1422.8504,510.0414,3446.4321,147.3586,1157.7132,2762.9005,1737.3312,3912.3553,6685.273,108.7202,452.6336,188.6743,2415.1152,10239.0286,6331.7525,2632.7403,549.6053,411.8238,1280.3145,720.5341,3232.1416,624.4531,76.9689,460.2957,2280.6421,497.136
PF3D7_0100700,0,0,0,0,350.1655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377.748,0,0,0,0
PF3D7_0100800,0,0,0,0,346.4675,586.4186,0,86.7294,0,108.4552,0,0,0,173.1199,70.1814,802.488,91.3777,0,63.8597,0,80.6066,0,0,0,0,495.9244
PF3D7_0100900,450.1392,86.0581,77.5345,0,1875.2472,1190.2411,366.4198,616.1144,1061.6382,110.0646,610.9745,63.6691,162.9987,175.6889,427.3367,5848.8459,3523.8778,1667.6656,129.6147,948.2775,736.2248,63.2175,0,0,329.8349,167.7612
PF3D7_0101000,186.3546,178.1373,80.2468,77.1998,363.9092,123.1879,75.8477,91.0954,892.7566,569.575,316.1741,263.5859,84.3504,636.4225,147.4287,2375.4067,383.9109,172.6005,201.2235,603.9698,169.3289,196.2871,80.6466,361.717,341.3735,0
PF3D7_0101100,0,0,0,569.0451,127.7333,194.5772,159.7367,0,0,119.9536,0,69.3896,0,0,77.622,80.688,0,0,141.2602,0,178.305,137.7949,594.4516,253.9277,0,0
PF3D7_0101200,0,130.1602,0,225.6314,177.2658,90.0101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382.458,471.4105,352.396,0,0
PF3D7_0101300,822.9372,629.3201,1630.0934,1977.2925,32836.6535,58044.2569,334.9414,643.6403,2001.5219,1006.0919,837.7304,1513.1856,74.4979,883.2769,781.2501,42026.63,15851.4402,14710.4567,1184.7974,1066.8465,523.4267,231.1465,284.9067,905.1558,301.4995,0
PF3D7_0101600,977.2149,1245.5,3015.7495,134.9414,3657.5448,10873.9755,596.6003,1671.9168,3421.0815,497.7941,552.6563,287.9592,368.6007,3098.9241,3221.2247,8036.304,2348.6986,2187.3032,410.3499,1319.6358,1553.8864,1658.3164,916.2799,421.5087,1193.4072,455.2446
PF3D7_0101800,0,107.175,96.5599,92.8934,0,148.2302,273.7991,219.2276,82.6339,0,0,0,101.4977,0,1862.688,1106.4357,115.4886,0,0,272.5305,101.8755,0,0,72.5415,0,0
PF3D7_0101900,0,0,0,76.8066,120.6852,122.5605,452.768,181.2629,478.2666,0,235.9228,0,923.1289,814.0898,4913.7075,0,0,0,0,676.0053,0,65.0958,80.2358,599.7911,339.6348,0
PF3D7_0102200,23236.3873,36349.7114,50934.9172,60098.533,27642.9619,85763.0864,423029.5344,246593.4377,270658.1847,33637.4664,25200.8872,22842.3305,2630823.219,471655.3849,6246683.3172,16679.2656,30898.6134,39920.3711,41778.1597,38476.6384,135541.2644,729753.3177,158884.0256,837005.4982,4183.5114,1891.3995
PF3D7_0102300,154358.9624,85364.966,211149.906,2348.0496,17791.3939,31223.2373,51880.1439,49933.9483,134699.3979,409764.5035,291059.6043,292576.8308,5188.0872,33060.4149,41602.2836,99853.1628,309887.5952,328630.2371,102049.6292,89144.9393,74219.7747,6412.3478,2725.4267,13161.299,10382.9528,3520.663
PF3D7_0102500,35990.668,66403.3814,15426.2516,12044.6215,2547.3498,3960.9745,777731.5038,344451.6527,174597.9011,1333.3584,8424.6972,9355.518,230136.0279,213173.2285,526561.2979,1340.0686,1612.4167,1319.1135,235325.9236,18494.7404,292468.8222,122308.7172,21044.6747,36045.7905,8273.505,5140.5569
PF3D7_0102600,12293.4927,18819.0929,24434.6255,206626.6787,435305.8063,511794.7961,10986.294,22517.3581,19699.688,15782.8295,28697.6852,16724.3187,46799.8541,36329.5794,33610.2685,80781.6965,38653.8021,39511.8904,8469.4076,37013.9237,13996.2497,33520.412,50128.4612,69364.5383,4622.2086,5193.9712
PF3D7_0102700,18250.6576,29439.9589,47360.7266,26014.3409,8050.1479,11032.5996,112937.1955,128010.9477,47432.8725,8587.4005,13903.4915,6283.7483,767011.0249,164900.0613,256472.5259,7356.2666,9894.3058,7006.1207,32887.9639,29915.4334,30493.5409,136671.6617,59703.6556,48048.7757,6378.5616,18570.6749
PF3D7_0102800,9724.2128,4359.8022,13710.8913,249.5458,2128.5865,2702.0772,1681.2,4459.0095,11796.9207,19252.9829,15293.8327,14910.5693,9465.1962,3904.5092,6263.3401,6935.3494,12232.508,15821.1723,6101.8234,6519.3286,5278.0184,3021.3883,1154.4727,2004.4084,11192.4249,37283.2389
PF3D7_0102900,149482.9498,110298.5714,204513.9117,314415.4514,425644.2358,411822.9726,51281.2455,54007.8337,145035.5774,298012.1941,223078.4724,226284.5486,22719.2894,57400.6521,52356.9115,419694.9672,396093.5261,396003.0029,90620.273,150018.5225,78982.4952,174430.9725,291754.4346,268916.5618,19032.7467,19156.417
PF3D7_0103000,49842.6083,18652.615,34318.3075,286.7771,957.5444,1401.4335,9297.8884,18527.1623,30963.2984,15128.1297,17654.2655,29343.9801,1253.3593,16464.5693,7975.2877,2348.3265,6061.0463,7934.4278,24854.1302,9990.9869,19224.1992,1610.218,861.2953,1819.5724,28691.0659,19269.0742
PF3D7_0103100,35716.0979,27155.1089,26931.7502,1368.235,5569.1292,5330.4938,15244.5971,14496.2472,21558.6008,19609.5817,25052.4749,26302.6566,1956.1811,10988.0883,8061.1458,7960.5758,12106.3481,12464.0027,31856.8031,21508.3126,21853.5095,2035.5,775.4839,2625.7072,6372.0863,29561.6753
PF3D7_0103200,232212.9485,200605.632,252920.846,129042.0643,232837.0036,218429.1158,106011.0906,120344.3567,193322.5693,288127.3033,274508.7995,250009.7115,16985.9007,115480.1045,74693.8078,318133.6071,326627.3221,289813.9412,199097.3706,199992.6182,174724.5125,41357.7093,111053.788,93469.7587,144063.639,75265.0236
PF3D7_0103300,73200.1743,68276.4926,87094.3966,89210.9749,80740.6015,70287.3728,73281.0694,69441.3484,77870.2298,74046.6698,71879.5719,60097.1377,20491.7226,58292.0252,72502.5666,68473.6997,73163.0906,71594.0279,57802.4332,57921.9772,77241.2119,63021.6917,99707.01,84054.1906,7508.6878,13224.2809
PF3D7_0103400,118373.5524,191028.7276,153344.0927,15053.5342,73648.7135,70635.1531,207166.15,226937.9682,172029.9548,128968.5484,119318.5371,114800.8882,83645.7246,232613.728,152642.0559,87562.1129,129776.3982,145381.2207,147921.2803,218962.7506,197661.6057,29747.193,11478.5667,20225.7809,15478.8378,128437.2567
PF3D7_0103500,10275.6026,6208.4222,17793.8417,610.8999,1613.4473,2478.5177,4175.8594,6288.3451,15851.967,11143.2803,10939.4154,15865.5147,1988.2517,6092.374,6106.2314,3470.44,10649.0735,16971.1386,6256.3806,4270.911,13171.3135,1365.9922,828.2697,1410.8749,4598.0725,8477.7121
PF3D7_0103600,47737.6481,40674.2219,93679.8237,7222.0973,28078.0171,20960.3376,19477.1894,23240.1981,67952.7098,36381.0361,38759.5022,41676.9756,2665.6547,34249.9227,19932.1559,33500.7324,35533.4888,47989.1766,26643.6187,80012.6311,89410.3856,4436.6498,3561.2956,6535.624,22076.3825,53780.6425
PF3D7_0103700,29619.6527,16492.425,40840.5878,25036.4269,29699.3071,23634.1942,9335.8416,13698.9207,28225.0321,30725.2184,35025.1618,30469.0834,1986.2025,19997.3673,12584.2216,24645.3078,29379.8759,39256.7716,13783.9008,16807.4604,26233.9205,16982.2718,25550.0165,24971.3586,7490.2653,21743.229
PF3D7_0103800,45086.3733,96932.1511,38231.71,3857.3344,3322.9052,3968.4571,27459.2327,46953.7264,41235.9974,4743.1926,25151.8044,24896.3468,2033.3692,45746.2609,15508.1368,2485.2736,2145.3928,3252.9457,46155.4807,74683.2206,25790.048,4846.447,7670.2925,6103.7383,80945.6137,131578.7901
PF3D7_0103900,34810.0219,28752.2596,57011.7052,6370.2236,12566.8083,14214.2187,11760.7579,12844.7007,41192.3564,42299.1764,48344.3061,49923.5736,1070.8101,14015.0124,12466.0273,20670.9439,39816.0882,48713.4148,27886.4876,37480.593,28021.4795,1928.1951,2047.5809,6368.552,7893.4541,94465.4498
PF3D7_0104000,9539.3124,19053.9581,7602.4208,0,278.0323,1035.2925,4404.1083,17260.3846,13536.6651,3655.3796,5314.3633,5840.1284,386.6703,13892.4791,7096.1857,0,879.9418,1846.1732,8916.7978,5537.309,7115.3468,499.8881,1109.0745,1658.1449,17735.4009,54123.6531
PF3D7_0104100,14480.4482,18253.3526,6407.8439,331.6363,1364.0447,1260.724,14240.5847,14709.3764,19106.1822,2533.1475,10885.7834,12072.4947,3538.2809,12199.4119,10841.067,1529.6788,1236.9082,1853.6509,22424.0539,4922.0027,17521.9286,2397.372,529.854,1355.828,2156.5857,17374.677
PF3D7_0104200,62682.5465,68421.3531,45280.3337,10310.7061,44335.4995,36328.7082,364344.1595,198094.8775,109571.0048,37882.6864,53670.4045,46515.6,171972.5803,146814.0726,275202.9573,51136.0165,53984.6234,51171.4734,152713.3655,28828.4162,111217.4348,60378.5691,13409.5996,21048.0124,18359.7605,14396.3479
PF3D7_0104300,31007.6421,50924.1647,42586.0259,62487.7175,41612.3233,33576.6525,186907.7057,117296.2509,67349.7997,27893.5693,24961.7061,23245.8071,414909.3555,163945.2281,427728.2441,28589.7245,26935.942,29165.8801,54675.7982,48279.512,97473.5144,150537.0109,63006.9819,67468.6741,10045.6516,14397.8857
PF3D7_0104400,69459.0279,59367.338,73622.1582,4748.8546,20078.168,23705.4235,33396.4336,34543.4078,53443.8906,65786.0745,66024.4914,57816.325,15770.9691,31863.5714,33053.7693,32653.7981,51892.6613,48965.391,48779.186,34952.6694,64826.3132,10512.1152,4177.5822,8929.5146,33294.7642,30566.3089
PF3D7_0104500,69700.7987,40026.7688,105162.8461,152081.8863,146852.7492,149772.9498,23080.8551,19481.8243,60816.9747,156689.9105,122873.2916,85798.0515,11284.5158,21585.1603,22153.8949,216645.4161,190791.9815,161309.9134,30205.9532,69917.5207,30789.0063,67929.6501,126049.0565,106607.8581,107419.6034,117778.0648
PF3D7_0104600,5091.7696,2761.2283,12185.7201,4766.2792,6979.2897,5420.9867,1514.4367,1579.559,8425.6225,4040.2673,5523.8686,5470.7217,620.4986,2125.8514,2072.1984,4972.4293,7337.6807,9862.7223,2519.9321,2955.3364,6161.3559,2183.0801,2288.2587,4213.0318,5291.4811,10856.6799
PF3D7_0104700,2762.0626,928.984,11761.6693,42.3785,133.1777,67.6235,1915.2687,2250.2915,9801.506,1000.5313,1475.2817,1736.3334,1111.2924,2195.9878,2104.1915,0,790.299,1326.4776,1804.194,1740.6213,5530.6711,143.6681,0,264.7509,1499.1655,3717.2265
PF3D7_0104800,37402.1809,27775.0156,41947.5865,1939.0794,2155.7902,3532.0514,40187.1715,43603.5053,53016.8972,27317.123,28095.1319,25483.3081,7875.1181,41751.7591,36122.3678,8642.8451,15146.7048,15582.6254,39035.458,19642.6967,33383.1996,8186.1175,5465.4448,6285.5587,19899.3299,46327.2559
PF3D7_0105100,17912.6917,7909.5344,25450.4775,226.0071,1065.366,2825.014,5699.2469,6133.8087,14207.2556,21565.8847,19515.1297,17748.2622,576.1957,4524.8302,3524.7869,9197.4195,16296.8731,13811.4925,11716.4233,3683.6629,8427.2507,893.8882,0,588.3047,20320.963,33887.481
PF3D7_0105200,19308.4927,33888.431,23794.6684,8204.8533,62930.3148,43821.0313,17741.8807,22192.7299,33193.9964,63077.8768,43538.4191,34729.8136,3684.1757,14869.2096,12735.4018,66415.3107,70146.4796,80245.0294,26431.6286,39642.6801,24529.3446,2286.1963,3209.3,5471.0388,19714.5689,29744.7189
PF3D7_0105300,279621.8365,190836.3553,172412.3555,2099.5661,1082.4912,2198.6231,217946.8805,298768.3982,206845.8379,42405.1303,85115.0341,126402.9051,17778.7973,221455.7887,75617.5831,2474.7038,13948.5765,15842.7021,394652.7148,91818.089,134556.9359,16904.7005,7059.705,7890.4501,101835.7598,83227.5549
PF3D7_0105400,121363.8429,133674.6067,44678.5193,2093.4936,925.166,2140.0673,184792.9598,218622.6807,132105.5357,1737.6363,15071.4233,42943.1524,10364.7967,147929.2876,50599.0808,3571.4486,2114.7022,1974.6101,243962.212,56684.5135,60052.6292,12364.6221,5194.0366,6334.9739,5785.8247,6621.2903
PF3D7_0105500,14257.7456,7672.6535,18828.052,0,2887.3411,3351.0928,4556.434,10015.5624,14633.7169,13815.6651,12632.593,12174.6596,573.6483,10202.1046,7937.4839,14764.9599,10225.9899,10466.5369,11479.9881,8386.0688,9404.4691,741.6135,182.8197,683.321,5417.0763,12792.1963
PF3D7_0105600,11087.045,12537.6995,12544.0676,12287.901,12358.2614,11512.4171,6822.8327,8619.5085,10396.704,14942.5448,13155.109,10454.5821,1508.7926,10393.9159,4567.128,13011.0002,15152.3792,13288.9819,9893.7923,13641.1553,7637.8915,5597.2873,8237.1184,11127.326,10088.528,13503.2729
PF3D7_0105700,11234.4059,10100.3441,18684.9109,260.9719,621.3057,971.6783,3496.3772,8827.7758,13556.1095,12019.3725,11271.1746,10334.7736,656.6963,7031.6636,4394.7967,2158.6021,6095.7304,8831.6383,7695.5394,6859.8168,22827.0951,603.2213,355.2369,975.7497,22380.6887,71216.7878
PF3D7_0105800,110479.3496,152326.3295,85301.4769,1722.2755,2829.1975,4247.2788,86355.2835,136924.6701,119587.8237,63476.4093,86587.3208,91213.3721,8853.0193,122966.1703,46476.3143,13850.6299,41972.3465,50429.749,140949.4142,134990.3963,95105.7129,9670.3641,2555.6402,7030.3875,12029.5218,26806.8446
PF3D7_0105900,16775.5232,11871.1721,18234.7642,303.618,954.1421,1453.4522,8650.7047,10668.4215,17135.4169,11996.8389,12503.8492,15290.6346,737.2015,11402.4517,6925.633,5190.113,8765.6789,8673.7886,19257.1328,6961.079,13208.0344,1000.7081,387.6569,816.6731,10591.4893,80654.1631
PF3D7_0106000,87027.1003,90949.6813,51538.2681,1262.7259,2550.9917,3762.5824,82234.6681,84048.7687,86743.6391,31751.4968,42849.8321,54639.9791,7658.6644,66828.4829,33809.262,6087.6548,14897.7323,20165.4065,127936.4913,43824.9707,59519.0905,6814.3106,2019.0358,4970.6301,4558.1291,21328.9407
PF3D7_0106100,62779.2562,56061.4907,71513.0539,50064.9078,68805.028,68394.7391,41527.2072,53017.2463,63567.8513,72191.3467,73945.6983,77839.4175,5454.6322,43338.8407,29327.397,65407.6177,63602.1104,72124.1703,59774.3376,48727.6398,47240.8995,19865.8108,40727.5849,41583.837,12194.0133,21279.7532
PF3D7_0106200,27214.1627,22961.4817,24633.3839,230.078,451.8982,137.676,12432.6501,18732.878,24406.5838,4753.0005,7715.0102,16447.7254,1005.5559,16867.3067,6261.1761,685.1039,2502.8647,2700.6005,20140.0875,16312.5613,12553.1611,2486.2203,420.6132,2470.4683,15260.8943,32988.5902
PF3D7_0106300,197220.4508,190540.2914,178050.5338,128183.9762,104058.8519,110750.4253,83355.9756,137713.6374,149276.8989,173767.662,214728.4356,197612.1277,34696.0204,134441.0281,69015.38,106041.6673,134348.902,138613.1015,161257.8257,184014.5946,148537.9666,138074.4705,116227.123,125106.8896,36688.2398,16040.1824
PF3D7_0106400,33033.1689,23849.6078,47392.8161,181278.3389,221851.6238,235728.9078,14741.7604,13146.009,31621.3271,70032.5147,58814.2359,44744.3129,19419.9328,22752.0245,20722.0809,225568.9009,153637.3098,125548.0371,15162.7507,45405.8513,20692.8374,138520.3107,207670.0649,163588.6109,118745.5077,252448.8293
PF3D7_0106500,19808.2919,14582.5286,23850.8871,252.7867,366.6465,403.3723,4909.8681,8512.6544,20687.8551,14317.792,18714.9525,23917.7703,934.8342,8473.1284,5681.5674,1138.7355,5439.3563,8434.0941,14630.8605,10915.2006,23756.4141,1829.3133,264.0729,1533.6761,4557.2229,17274.9318
PF3D7_0106600,19192.6537,15791.8042,20609.2466,201.2863,0,240.8947,14733.1744,29452.0911,15846.4109,2376.1226,1339.6076,4467.1796,3188.9908,34491.2087,10186.5228,199.7902,125.1233,450.0286,13816.0032,11318.5562,18653.3037,1961.8523,315.4098,1021.7132,2225.1934,3168.9883
PF3D7_0106700,53030.0126,47172.5171,93372.4331,66847.6071,102721.1691,86201.9177,30674.974,56516.0806,66248.056,68296.6212,50495.2813,54880.5771,11907.9817,61572.0201,30793.956,71249.2549,66873.713,79516.7427,37876.3581,58066.0386,72202.4919,70641.1575,62993.964,74683.2872,12199.7073,16880.7791
PF3D7_0106800,45779.1568,35283.8194,28106.2427,1454.5131,6446.1621,8004.3716,13814.0272,22796.2342,27005.4207,33404.6135,37956.7935,51985.8502,1589.2374,13528.0449,8475.5121,19249.3663,20355.031,23639.1596,36745.7645,28703.6296,18037.5082,2244.2215,701.2862,2533.8085,63823.0606,52425.3718
PF3D7_0106900,21226.8758,21952.3333,33504.8652,337.0335,1949.8038,2028.9923,10114.5271,8568.5837,28100.4036,17948.8082,23967.5609,21942.6096,602.5929,9237.4401,7518.8161,4683.399,11275.2533,16954.3648,24544.4047,14352.4138,21001.2584,1480.1631,544.1255,1770.572,6367.836,25634.9097
PF3D7_0107000,183150.4894,138702.6346,150168.2266,1012.2758,5453.4026,6768.8385,41297.3291,58927.7188,85287.9842,137207.0769,147274.8113,157999.8644,8426.955,58074.6336,25867.3436,20525.6495,65861.4766,72099.3935,96494.6491,122469.4468,71155.6739,5882.9666,2114.9427,6022.836,362787.8561,239271.162
PF3D7_0107100,9559.926,4627.7717,18419.308,50.7734,2792.2846,2997.7111,1745.9431,5212.3756,8175.0085,14384.7423,9149.5323,8277.8095,998.5729,3228.9489,2424.0529,11288.7072,9279.139,11067.9371,3352.6709,3028.8308,6737.6185,516.3827,265.2015,594.7424,9429.7255,15416.2366
PF3D7_0107200,27347.9321,12307.4186,28935.1341,272.5246,3731.5825,4069.1241,5355.027,5420.8829,18666.8046,24874.8419,27504.699,19872.606,212.6909,7106.7443,3271.3449,18896.2934,22216.447,21978.347,8557.9437,16104.8664,10460.6509,1022.8778,325.3625,729.6598,16699.1001,8405.9617
PF3D7_0107300,6991.1127,21038.5773,13324.1158,321.7955,1432.6271,1026.9798,6112.4126,19745.2964,17270.7353,2690.7441,9115.6351,3799.7303,1406.4073,19011.9442,7015.9304,2342.2944,5800.9913,4196.843,8434.2898,17780.235,12704.7878,1136.3787,560.2715,1298.3505,6877.6548,87935.6026
PF3D7_0107400,21815.4608,16380.588,24560.646,3405.3743,4157.1756,4347.1714,10448.9693,10818.5699,23907.9515,25665.7703,26981.7166,20705.1517,6983.6499,13512.2258,10105.0582,3380.0639,15176.1506,13938.768,15521.9783,13884.4869,12123.2446,8791.6627,1751.3431,9696.1948,216609.1166,109936.4235
PF3D7_0107500,30287.9377,42770.8737,49112.5439,174466.9862,197478.5946,162102.3402,191239.7382,159171.2787,76390.5531,82045.3158,59329.9922,50662.4417,351308.7842,171886.4855,368791.611,175052.8908,107782.969,110887.8492,51660.712,41630.4231,55964.7728,264944.5701,178471.7759,207996.9663,17010.059,13229.1681
PF3D7_0107600,861.9838,1245.1177,1534.2195,158.7058,49.8745,126.6236,1169.4455,2490.7191,2950.6153,421.5315,519.9875,650.2494,1075.1167,3513.8395,2106.4131,173.2788,256.5018,372.5701,1268.5916,2219.4117,2715.203,376.6215,165.7916,235.4767,3719.4805,22487.5326
PF3D7_0107700,7823.5537,4752.0125,17897.442,135.0421,2599.3252,2801.3302,3383.2581,2071.537,15676.6423,9564.7801,10439.1726,13198.3745,516.4261,2544.6045,3030.2108,5696.6301,11332.5336,18341.7701,7567.8051,4027.8929,6368.2837,915.6159,141.0713,1845.4767,27468.8506,104176.9445
PF3D7_0107800,30813.0918,33088.9974,51415.6036,4009.4331,22982.0326,16663.8198,8300.4735,14120.9226,39705.9093,38576.4689,43418.6476,39130.4353,1944.5418,13105.6051,10684.4009,22964.1066,35579.4163,47839.2664,19212.9381,50072.2137,35289.0959,1248.2849,2372.027,4217.2788,6965.1623,21025.753
PF3D7_0107900,26095.7186,17331.2912,25452.8824,17713.5777,50140.5344,43645.4112,6910.1433,8504.2206,16761.3639,52788.346,40185.0622,32315.3254,474.37,7362.7473,7296.1666,52745.7646,52032.8199,46301.0064,17804.4808,23012.0047,12760.4452,1324.6555,7528.7689,10442.352,63353.9479,148421.9631
PF3D7_0108000,301328.1663,202424.353,230121.7323,72868.6628,92634.6971,92530.6114,84117.3747,93301.2859,167192.6228,224197.4765,249678.398,271069.4648,19728.384,82253.2256,57737.591,135693.2575,169283.862,147335.1912,190192.8221,199956.7344,113914.9154,47380.2388,57829.9683,63527.8766,196754.6781,137336.3551
PF3D7_0108100,13375.8753,10686.1689,14546.7407,768.478,2510.3279,2291.1743,3496.926,5965.7929,11153.5482,10683.0584,11181.2848,10253.691,1767.7017,5334.9107,5020.6177,5700.6746,7492.3547,8816.7474,7485.118,5300.1931,11399.7647,822.7036,169.0081,1137.056,16633.1469,101701.6778
PF3D7_0108300,94978.3266,135699.7895,130568.097,221474.6434,347914.8677,256085.476,118198.4918,154746.134,147885.459,156403.1749,125310.6036,126930.2751,257912.9435,213206.5776,249637.1503,208336.6386,170805.2358,201630.0706,90810.0226,189215.1422,174130.7775,248822.1832,212062.1922,241401.8076,96389.814,73233.5248
PF3D7_0108400,14451.8054,10414.0517,23807.5263,13171.0681,19778.9419,16583.4273,17736.46,16809.7785,15976.9203,14678.2213,18672.4041,13181.8878,98825.1701,21115.814,82640.841,18223.2124,16985.4837,17881.2287,9362.935,8977.2627,10303.1504,23808.8885,15426.8954,15224.3554,5023.1835,11669.6778
PF3D7_0108500,18704.6795,56656.3553,21459.7748,337481.9633,82360.2434,90854.4698,961317.6172,574185.0066,97323.9088,20295.5258,25042.0938,13507.2291,4703258.4518,814368.721,2455159.7577,43145.6631,34097.9199,23657.0812,89804.3102,45013.2073,47940.6764,1074344.5303,616897.9192,514835.7854,259540.4805,103768.6283
PF3D7_0108600,37370.2569,83035.4523,56198.9881,415407.3325,99168.4516,113604.6388,1159320.0168,722179.7165,132103.2527,43255.7829,53571.6336,32623.5305,5818709.7369,1035583.3008,2955677.8403,59325.2347,53622.8702,41414.0944,115590.2893,69173.6926,68468.1924,1306858.159,748494.8813,625949.8749,348099.1292,171776.2938
PF3D7_0108700,45135.5971,48407.9688,56027.8319,29648.7077,40623.1008,33295.1577,15223.2382,26767.9952,39723.9103,43646.4795,51444.3328,48980.6167,3557.1637,29442.6462,16324.45,24036.8915,26687.5314,32773.9767,32052.6004,48454.6054,52754.1849,12394.3779,27862.4718,28672.7395,22171.6099,34457.3801
PF3D7_0108800,26332.824,22358.3816,34364.6815,8983.6487,9538.3083,10894.7751,13642.9377,18414.8677,25070.3593,21740.0895,27673.4419,25414.9132,1879.0167,20071.6962,9460.3667,9095.2153,17040.4155,21806.9155,20561.5963,20884.1636,16664.4634,3502.3933,7427.356,6614.5476,33028.6882,133295.9978
PF3D7_0109000,66171.937,84362.0727,38820.4844,8346.2489,1853.1149,2605.7211,466898.5753,435512.2155,149645.8957,4060.5827,10465.2363,17449.1738,159323.7724,289715.0692,235964.4387,1680.8553,2518.9019,3143.845,226848.2766,29306.567,101515.0631,60075.0556,14120.8073,20143.3996,710186.1037,429636.9115
PF3D7_0109100,8693.3714,22596.1284,15228.1304,1178.217,279.4441,319.2595,77426.8486,57080.613,47164.0742,1082.5005,3027.27,4326.4352,23026.551,56209.8922,90681.0673,375.1098,414.5672,1068.5967,24124.2077,8174.2199,27793.2408,11323.4359,1207.5984,4131.6914,24378.935,56048.4364
PF3D7_0109200,30795.9907,35678.668,38562.486,8577.943,18500.6197,21883.1151,11809.5161,9928.5204,29841.8249,37811.2528,42907.08,30267.331,1253.6431,13448.1044,7251.6069,26410.2504,34914.0983,32859.5577,19368.0037,41034.9369,15159.6417,2037.4666,5479.2926,5930.6158,152691.2688,130993.3264
PF3D7_0109300,15836.5405,13940.2444,30515.7363,1274.3405,4264.2736,4029.2798,6631.071,7462.8864,23469.6728,12396.7101,17783.5981,15953.752,773.5424,6725.7137,6264.299,6418.0389,10796.7676,17200.2697,10005.8213,8954.3177,8385.3588,1160.0429,887.4911,1474.291,44663.1262,77809.7751
PF3D7_0109400,41304.1198,41548.792,60234.9852,6317.0579,35873.9601,39130.0114,23603.9227,28466.4418,46769.1662,73616.7755,70179.5287,50227.5284,5706.5229,28117.9501,23794.951,76129.9534,88244.8395,85797.1768,34011.6,46745.9048,29948.0393,4890.1643,3845.144,7962.8125,1237221.0079,765201.303
PF3D7_0109500,35668.5042,27046.1037,26932.3004,53993.1454,44958.0612,50062.9331,16393.3372,16014.5745,26392.9538,44560.5924,35431.4155,32898.2564,7831.6645,17505.516,15259.0667,41578.8715,38639.6332,34480.881,21796.7721,45562.2695,13208.7551,19917.6196,40139.3764,35878.2588,264734.7311,694259.2037
PF3D7_0109600,13039.2561,10646.5853,14856.0466,13166.6003,14322.8124,16161.5204,6965.5314,8498.6134,12313.0715,25572.5025,23044.5311,14696.8799,4057.6339,12192.8967,9133.6142,30382.0269,36795.7571,35350.0508,13101.8849,13206.2064,9379.6426,23939.5419,15282.7285,17927.4882,149784.8555,168059.9882
PF3D7_0109700,10592.6895,20105.5254,17326.5988,53226.1707,34524.8967,37731.2668,9056.8342,10803.0394,13648.2643,15465.7311,20493.0689,15791.0567,6484.8006,18738.2689,15252.9596,25694.5819,20487.6601,18068.9762,6582.9429,37911.8574,12602.4199,61752.9603,58108.9879,56258.0636,75383.2803,146976.0115
PF3D7_0109800,48749.9977,51562.6714,55275.3035,71319.0119,64263.9867,65543.3231,18439.4361,21592.6848,35616.7216,55272.7041,68418.3564,49929.5902,9014.3427,32003.433,21952.9941,49171.9181,41902.6949,47075.1941,27925.02,98652.7585,25771.51,50304.4703,46646.2078,58533.4448,14696.4699,15125.7665
PF3D7_0109850,19958.9942,15215.9465,20005.4026,2785.9099,4638.5053,3772.5432,5022.2287,8655.7117,17052.0007,9089.1305,16434.2659,17933.2217,1033.2691,8729.1077,4758.95,4769.3421,4861.6782,6714.3561,13790.289,8773.1739,11436.3029,1321.3709,6274.4866,3173.505,27463.79,84042.0058
PF3D7_0109950,54084.6819,56290.6704,36397.9712,6366.5293,12648.8386,13529.1681,17742.603,25499.0745,35613.9917,39655.0629,61487.736,53873.3514,3076.7936,21628.2777,12450.4474,19382.9617,35237.4604,28947.1428,32550.8263,59686.1555,23027.5872,2697.9076,3261.4396,5306.3253,210060.6694,504605.3412
