Gene,D4F1,D4F2,D4M1,D4M2,D4M3,D6F1,D6F2,D6F3,D6F4,D6M1,D6M2,D10F1,D10F2,D10F3,D10M1,D11F1
PF3D7_1106700,9812.7117,18496.2807,11709.29,26037.3086,4248.0161,31079.6378,20242.3166,15338.2763,7074.7302,38136.8716,43116.7316,36533.71,8943.7353,7878.9149,54011.8639,0
PF3D7_1106800,30930.7222,58305.0967,19833.7905,18427.8212,2427.7244,12060.5429,43495.8924,33840.9078,195744.8406,37089.3858,60676.5532,26141.0258,53212.3826,44277.2264,21909.1848,0
PF3D7_1106900,13779.4958,26421.2107,0,11607.5032,6999.0295,0,4441.4474,3054.7771,17638.6681,63545.2903,0,32298.6431,11578.0458,8345.1194,0,0
PF3D7_1107000,600.8277,12096.469,8812.5629,13081.3131,89984.1636,4158.3888,3098.5686,5061.5056,23191.3008,28645.4659,54974.4718,0,5481.0961,2587.5373,0,0
PF3D7_1107100,46747.1289,87750.1152,145120.5453,93584.4725,59488.0886,136995.0825,52270.7929,54150.9591,51310.6818,73781.6506,101329.9156,128611.4728,25478.0623,33100.2693,42739.961,0
PF3D7_1107200,22309.3189,16575.9109,54154.7564,81965.5773,647.5194,34741.1336,38686.5307,34125.7023,1537.7065,46375.7147,7796.4633,30628.313,37222.4544,27922.6077,26885.7457,0
PF3D7_1107300,26983.6793,34427.5396,99704.4906,169903.833,2610.6362,29239.6943,75202.2675,110757.8798,14707.391,104345.7098,35330.093,25372.5243,33894.5305,79343.1079,171882.481,582.7197
PF3D7_1107400,2252245.5214,209260.558,150160.6124,318482.3959,109661.0983,881870.3867,1556217.6013,2079241.4336,159284.577,300283.7351,1448857.8339,351716.7157,1239514.3803,967451.7607,273299.8997,0
PF3D7_1107500,13771.538,68655.4752,23915.8843,25129.1169,4476.792,32406.8275,26988.4052,13433.2568,17357.2741,62531.5367,1400.0742,19183.537,5818.7407,6523.968,69569.696,4710.8158
PF3D7_1107600,156.1068,299.3238,17951.065,1780.3142,3805.9896,3241.2928,1771.1515,1245.8638,1721.5871,9923.5384,0,3345.4515,0,1344.5859,74459.8017,0
PF3D7_1107700,8132.5401,2798.8462,10521.3713,25943.285,4841.9248,24534.9786,8603.2546,15902.5308,5913.4809,18226.7399,6359.9175,0,7208.7172,6061.8065,72422.2428,3566.5252
PF3D7_1107800,196205.7209,30864.5735,65075.8837,87159.9918,9972.2716,129663.8352,211581.4185,226585.4812,11507.9187,51362.5671,4469.366,112693.0722,195424.9489,198794.0068,58571.2922,3470.3149
PF3D7_1107900,147602.5233,19485.8251,59159.6196,23629.5953,108248.1389,85358.6146,197426.3403,145149.2386,15077.9748,42224.0809,9027.6211,127923.5334,287077.1982,326013.6467,176228.8528,0
PF3D7_1108000,19278.1516,35718.5008,27958.2739,80397.1264,12070.9948,29983.3764,39544.8405,39184.2682,16721.705,85813.8681,0,41778.3013,11648.1591,14225.9711,49094.3021,0
PF3D7_1108100,60786.9665,27849.3574,61606.1586,62352.7979,3497.4096,80419.4198,75792.0936,86150.1348,14068.5457,53248.2304,0,53606.5508,38845.7714,71817.5219,125563.0978,0
PF3D7_1108200,20164.6979,14404.3787,20877.3966,25825.2306,2754.2239,16419.0472,15904.7676,23140.4429,1245.8353,33661.9658,0,8473.336,2657.746,12770.8411,77130.704,0
PF3D7_1108300,0,10365.5002,0,1050.8827,3922.6299,7015.3171,348.4914,1797.6632,9581.4776,0,0,0,1297.791,1455.0824,380.9873,0
PF3D7_1108400,24523.8468,36800.4094,41287.3476,64558.8404,331510.8699,50181.6375,47730.0254,42169.8256,32925.0105,36068.9658,84552.0195,83403.9285,32559.8024,27322.1216,47611.9089,299080.6349
PF3D7_1108500,217185.1621,173613.2632,247424.8791,217559.4905,135189.5408,207478.4691,217701.8252,197292.9114,153895.2262,260892.2188,170005.5186,481827.9901,263780.0956,229442.3261,193390.9682,170907.1808
PF3D7_1108600,180947.2587,77967.1004,52722.5685,75040.2227,72228.7118,143528.2302,157486.4217,133233.2517,39077.8736,88854.4939,44439.4919,196068.3069,236819.0771,193066.6626,58918.9194,0
PF3D7_1108700,103795.4401,101668.7882,216109.0416,295874.4284,46790.4069,149597.2944,116231.1696,171504.9664,18800.1931,207789.961,72675.7801,81424.2964,52862.7917,88480.3673,150046.0195,0
PF3D7_1108800,13904.215,17250.8152,4798.548,8479.684,0,11321.467,5905.2293,9428.5974,11597.0933,4642.204,0,4381.9805,7068.6087,4402.9551,0,0
PF3D7_1108900,13831.0181,20515.4725,26946.5542,17856.8287,4241.6298,5418.4453,5921.6419,7636.5713,822.2755,1481.1702,68979.5334,2796.2833,2004.7589,3371.6014,4413.9681,0
PF3D7_1109100,171988.0692,17000.9575,6669.1684,16735.1594,0,120372.1397,201429.8036,166725.1381,10208.063,13807.0163,0,169307.8447,251498.703,256034.0795,64730.7173,0
