Gene,D4F1,D4F2,D4M1,D4M2,D4M3,D6F1,D6F2,D6F3,D6F4,D6M1,D6M2,D10F1,D10F2,D10F3,D10M1,D11F1
PF3D7_0100100,6622.2003,12832.6825,12151.6171,25928.9496,35496.9163,4388.2577,8501.6162,8745.984,665.9395,25830.5495,358.1072,3019.516,5547.3069,5916.2397,22242.9372,14459.0377
PF3D7_0100200,7883.8401,2519.4512,0,5449.1488,313745.0685,27282.4249,10842.2077,3883.9309,6900.402,0,338413.3745,23465.9529,5047.0828,7073.4822,1975.536,0
PF3D7_0100300,129.5988,0,0,806.1844,9479.1204,0,0,574.6154,0,0,0,1388.6856,248.9,279.0665,146.1372,0
PF3D7_0100400,55634.8497,185066.5192,46488.2423,20100.7811,869534.5783,2917.0787,25214.0238,37001.0774,351267.3233,69374.1471,1285472.7243,56452.8522,74875.304,53546.5751,55605.5958,533443.4591
PF3D7_0100600,10486.1066,7539.8884,0,4529.8638,1227058.6871,6047.9498,0,1937.2212,0,495.9749,346470.4905,9363.4503,0,470.4134,0,0
PF3D7_0100700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PF3D7_0100800,0,0,0,0,3036.1347,0,0,0,0,0,0,0,0,0,0,0
PF3D7_0100900,0,0,0,0,2054.1257,0,0,0,696.8667,0,0,0,0,0,0,7565.2673
PF3D7_0101000,0,0,537.1753,0,1062.9925,0,0,0,0,0,0,0,0,0,5162.1834,0
PF3D7_0101100,482.0657,0,0,0,0,3336.4251,0,0,759.4782,0,0,0,0,0,0,0
PF3D7_0101200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PF3D7_0101300,808.6498,775.2644,2372.1533,3772.7245,0,0,417.0342,2151.2353,1274.0004,5048.703,4110.542,0,776.523,435.3185,0,0
PF3D7_0101600,3200.8299,32221.1688,0,0,252695.7599,0,0,709.5921,0,0,280666.3378,0,0,0,0,0
PF3D7_0101800,0,0,0,0,0,0,0,0,867.8637,0,0,0,0,0,0,0
PF3D7_0101900,0,0,0,0,0,0,2818.6979,403.8892,0,0,0,7320.6602,0,0,0,428452.2988
PF3D7_0102200,979.5735,5293.2867,14420.015,3508.4077,75163.1881,2465.3551,91.8513,1263.4862,2244.7781,101.0883,905.3426,0,256.5426,191.7569,200.8325,0
PF3D7_0102300,309.4228,0,0,320.8,2514.6456,0,0,1646.3029,3899.8812,0,59768.7981,1657.7735,0,0,1395.6353,0
PF3D7_0102500,1197.7727,7736.0659,15164.1107,4509.7452,24372.0172,872.6216,1235.4227,447.2156,8541.3859,3792.7423,23072.355,15536.4405,665.8975,746.6038,10520.6401,1078.2128
PF3D7_0102600,8793.3601,8844.9297,10318.0385,13600.3013,197149.9878,1995.401,6988.1796,7030.6244,5450.6131,21927.3671,732.7632,5406.2479,3737.5126,5276.9216,3250.9828,2465.521
PF3D7_0102700,10028.7686,61647.3733,14190.4064,7951.044,59243.5722,8165.8959,9735.5356,10462.4856,78070.5188,36831.3845,92960.6196,14222.767,3398.9425,13020.5477,79492.5158,0
PF3D7_0102800,1902.621,15808.613,10914.5224,3945.1579,18162.1783,0,2180.4742,2624.4844,9991.7169,80391.7065,68774.6479,9060.9274,2233.0392,3641.7192,0,3615.7089
PF3D7_0102900,29837.6863,28605.8288,11600.1079,30375.7336,7929.8887,13684.3728,27809.2638,19605.0681,41061.4375,18567.5719,0,13482.1137,36764.659,24383.9638,2229.5098,9222.7832
PF3D7_0103000,35712.5879,17119.0917,37165.5525,31515.9348,6663.4976,7356.2622,31134.4761,25259.3998,12726.3754,64670.0954,27014.1108,15944.5758,20412.9571,15792.0254,25408.4139,0
PF3D7_0103100,30642.1151,24825.673,14280.7752,15660.6776,5511.6232,19714.2147,34365.1993,28626.4949,28693.3947,22045.9882,32029.6264,22659.9714,40531.542,38195.2107,10122.3972,2952.5963
PF3D7_0103200,62158.7394,208171.0902,82546.2937,162634.6965,540021.0127,146793.5649,75375.6218,78396.8784,336134.6523,123956.8403,509175.4945,209264.8679,88323.9493,108750.7514,85245.7304,323248.6228
PF3D7_0103300,38624.8049,25647.3541,59429.9494,45966.0628,5234.5683,54089.3392,36273.5624,36116.7492,15627.3811,47086.7726,0,44286.2347,34781.163,30906.0317,31182.4796,0
PF3D7_0103400,148749.0479,33019.3511,87597.9761,69388.6478,5835.7627,140445.9014,146415.967,118202.4899,29036.9971,77452.9673,34068.1494,130662.6924,219085.9932,207455.2681,118713.3807,85971.5716
PF3D7_0103500,6628.6976,11232.1459,26951.833,16541.7791,1521.2659,19204.695,12481.6094,11004.2848,5221.6445,37710.6219,1175.4107,9910.9182,3404.7205,9626.4121,34591.7456,1318.2975
PF3D7_0103600,122637.5129,94978.0599,22597.0479,23740.6924,8453.8278,51722.9306,113546.7139,83856.4948,279401.5909,20990.7202,2435.1291,229453.021,185756.3058,172475.0743,54990.8959,560432.2998
PF3D7_0103700,12249.7516,35232.051,18398.3779,6350.083,6257.5798,16956.3524,4295.8329,3693.2813,4245.7953,5284.0576,0,57754.1033,4940.4949,12924.9854,0,0
PF3D7_0103800,682612.5962,205062.6588,275230.6427,324731.9395,98771.6449,747132.143,581550.5696,670257.6761,125814.9218,172194.173,239688.1032,597706.0785,590560.4375,540942.3908,173085.6536,78931.71
PF3D7_0103900,43794.8758,35022.158,63322.2702,27544.3754,12771.5367,5746.1372,64867.125,72333.517,15696.0789,93066.7625,22156.378,31136.6416,86501.6628,90728.4686,22468.3782,0
PF3D7_0104000,396633.2208,1035482.3825,94394.3831,242958.9765,282625.7403,295332.3487,422088.0635,362884.2183,2059796.9956,142933.8854,792956.7829,281086.6265,374829.7978,448125.5399,184578.679,1005006.8003
PF3D7_0104100,15617.2447,54344.5651,814.4495,5996.8442,47544.5072,12009.8356,13602.4355,15695.251,60144.1897,131.3189,10584.7786,30369.6383,21662.0294,22917.3909,1434.9044,166200.9952
PF3D7_0104200,11284.7616,6688.0268,23353.0558,29355.5958,47641.5777,11360.4319,11216.2258,8915.218,16162.5095,18399.815,5214.8081,13191.1858,10836.431,5964.4467,24524.2205,0
PF3D7_0104300,6569.5273,20170.513,25662.8607,29529.0669,29012.0188,18705.3376,14581.3297,12499.2203,11922.2306,21569.988,14794.9569,9578.9606,8664.2436,10609.6751,18285.2664,0
PF3D7_0104400,102083.237,74600.4617,51304.6963,63002.6464,32909.4562,175670.3869,94399.7752,99723.546,18680.6464,73187.8088,203420.7321,163779.5489,97671.7706,115294.1775,18384.2177,196461.8414
PF3D7_0104500,18977.2679,1653.9805,18725.1377,17886.4074,500.7344,5970.1627,11566.3289,20270.435,5436.008,33292.514,157852.7439,9243.02,15324.1579,14859.6196,0,0
PF3D7_0104600,5171.7512,50966.0327,1975.7841,4489.0432,12008.6465,2497.2705,4341.8857,3946.1817,84889.9492,2730.5858,0,3866.2801,10048.0619,11136.3872,8137.2951,0
PF3D7_0104700,16586.221,54450.4335,27128.9899,30483.9674,72648.9431,6957.2668,20736.4628,46129.6379,37216.9224,3993.8175,125189.5896,20196.107,8446.2793,14881.3697,24937.0935,279383.3725
PF3D7_0104800,377074.3989,1706445.088,156310.4203,176349.9954,344327.9136,506037.0703,422493.8991,357653.8073,2928297.0735,196533.6108,1981818.9649,817156.9758,504389.395,788365.7625,216266.4686,3974206.5313
PF3D7_0105100,22337.1823,29124.3799,0,14821.4426,19709.1739,34011.5345,4607.863,5942.3172,22522.5445,1521.3751,118086.5285,0,6005.9305,10581.7566,0,0
PF3D7_0105200,21106.0937,19595.7312,58394.8516,53899.1888,118134.3445,16914.2248,35977.0116,24823.3842,2100.1224,45143.3677,0,26186.6431,9387.0864,14830.3926,32317.1918,7599.7261
PF3D7_0105300,59139.9174,142491.8021,101352.0143,102863.0555,92149.6594,67321.2685,76649.9136,37607.0971,93785.921,53441.5644,31644.3177,14591.7728,52306.9074,37282.3977,91255.7227,479129.9384
PF3D7_0105400,17069.9358,49839.4683,61454.7228,31775.2091,108097.8097,26850.6231,24008.8655,27177.6869,23837.0721,15853.9827,0,49884.2383,17881.9275,10442.2942,437.4605,0
PF3D7_0105500,36322.7643,36813.0638,0,22057.0194,489776.3831,21548.0145,35323.6819,26227.802,10627.5534,11191.5727,2637.6641,47260.9739,16941.5699,15084.1666,33351.4989,0
PF3D7_0105600,16733.4695,27306.593,39687.5262,31744.5157,68891.1335,32855.0424,29989.8398,22100.0047,21688.7221,49575.9871,47657.6478,17167.361,14815.084,12649.6579,18735.0376,0
PF3D7_0105700,57494.7085,35518.4404,111815.8563,179069.3427,925.5775,114898.8878,115411.4832,102009.6228,11156.3838,114188.2374,20500.9735,78390.7631,42826.4233,58872.5245,127336.6843,23260.5024
PF3D7_0105800,27738.0163,41168.8384,52293.897,64374.4297,12126.8065,67473.2984,33278.4792,39725.648,15359.1038,51775.7877,23008.0988,34198.9742,23849.8226,22616.8843,23556.4397,0
PF3D7_0105900,19004.9278,5370.1948,27933.9186,12237.0503,20206.3705,23537.8449,17951.5952,10643.8821,27735.3967,17258.8906,28473.3966,35369.5431,24973.5253,21538.6918,10602.3009,0
PF3D7_0106000,23228.1248,31938.642,33531.6136,30261.1929,67773.5705,34902.751,35306.9138,20733.288,22631.1961,19949.1809,14759.1991,97429.487,39034.2717,34057.88,30327.9376,180344.6817
PF3D7_0106100,8458.3151,19461.8666,47308.6903,47354.334,717512.7031,44881.3174,31988.6907,28751.9054,31537.7019,28804.5954,103189.0769,48337.6434,17056.7795,9410.2465,36243.2474,0
PF3D7_0106200,11256.0654,47089.5512,2801.6443,22632.6161,11088.1002,7082.2146,16535.2857,25104.8106,9672.8458,5807.9196,1733.8491,16447.0522,14084.2916,15424.0584,71539.3948,0
PF3D7_0106300,42478.7366,150548.2032,162787.588,116441.5389,55603.7396,66553.7569,62591.409,58448.1922,47802.7242,157271.7655,51253.3879,41015.3988,48142.4693,41010.6885,49583.9077,70258.1254
PF3D7_0106400,27495.2431,188181.7821,21508.424,23755.1858,31921.5525,79290.5588,27571.747,35217.9923,79416.0148,6935.8823,178587.6911,98206.2656,20535.5801,25902.538,1722.4424,0
PF3D7_0106500,19718.0721,15698.0632,21378.0314,25464.2012,2945.2181,28730.686,20932.5522,19530.2541,181.6676,58510.3275,10550.6562,17298.1342,22145.843,9931.9615,74894.594,0
PF3D7_0106600,2387.2708,6866.135,0,0,4157.3768,0,1846.7331,1058.4684,27267.7177,0,0,0,0,2570.2679,0,0
PF3D7_0106700,116554.9942,57089.2682,171939.2444,189636.5688,13803.1997,184265.4521,150089.9676,142914.6795,14088.3208,132077.738,33058.7228,150262.0963,84504.3846,75818.8873,78490.6072,0
PF3D7_0106800,62367.6964,94565.9619,45414.1226,60762.9127,145072.6299,78064.9216,82349.1221,80604.3731,50174.3989,58746.6518,123663.6065,29622.6219,81552.2038,45956.2525,37657.1277,37826.3365
PF3D7_0106900,3088.7792,13935.3321,6395.8973,7534.9444,6961.1073,10060.1183,4497.6987,6122.485,4580.0162,0,1847.1687,10707.8807,7327.9267,5281.7569,204.8791,0
PF3D7_0107000,68603.8298,76733.4175,148923.2048,107578.5927,13274.6644,75178.8836,64273.9202,61595.5844,38279.4012,165811.5144,0,33692.4577,50781.1731,67091.9347,113781.4523,0
PF3D7_0107100,8731.5569,20206.036,23670.6824,22475.4452,11535.4376,29174.0608,9316.5715,21893.4262,10435.7932,59470.2285,6121.9857,32262.3932,16769.3245,9725.0457,25123.7845,0
PF3D7_0107200,13159.5223,22133.7326,1625.3946,9095.5922,2144.281,27163.7263,18335.6863,16582.747,63652.0519,22276.1873,3520.6686,14842.922,11971.6196,15659.6669,79661.108,0
PF3D7_0107300,53749.3249,20734.0725,2612.3216,11211.0771,2584.7039,6603.6298,53142.5635,44560.4516,17036.2623,16607.3679,71134.0627,28967.307,89484.4991,74648.2285,21517.7674,0
PF3D7_0107400,14912.4943,146542.4835,13123.6258,65708.4672,29937.3661,17201.812,27237.62,19009.2215,101318.4392,47962.8111,72644.9641,53263.7727,11038.3627,15052.1408,4904.5226,170036.7201
PF3D7_0107500,29635.7139,66759.5708,78223.5092,54571.9744,20027.7259,34112.4027,37866.9093,31322.7977,74664.2841,59535.6788,37580.8882,54844.1686,22997.236,25920.551,66621.4085,103752.2373
PF3D7_0107600,3011.6211,5955.0262,9607.5331,1951.4726,327.7918,651.3666,5436.0013,4172.7901,4744.7072,320.5002,0,2016.8947,1174.864,4559.7346,12522.5279,0
PF3D7_0107700,21621.7257,23032.2961,16443.9793,29473.8627,929.7218,22169.798,32213.089,40476.9362,18293.7897,8635.8852,0,4290.4168,48830.8401,38798.5777,37022.871,0
PF3D7_0107800,6065.3303,3023.7591,5551.2571,10690.1917,0,2518.7256,9634.2155,6561.762,3248.9458,4131.0683,0,7798.9941,6872.7468,5354.8217,2872.5222,0
PF3D7_0107900,53550.9293,13822.3248,19334.1879,42707.6598,0,0,53640.9207,38354.7491,29204.1967,67218.4014,0,5517.4266,40050.9271,20512.1933,69674.6133,0
PF3D7_0108000,109425.7413,65426.5369,111141.1059,115889.0143,105526.4864,52932.8237,114382.3684,93643.4043,36147.6652,102845.1796,0,124502.0611,44347.597,63974.1656,17911.4179,0
PF3D7_0108100,23984.7617,8737.9267,0,6216.6659,6683.0251,29880.1704,12369.3417,16376.9235,4156.59,8440.22,1219.1974,61680.7346,23262.1935,25565.0888,2434.0952,0
PF3D7_0108300,76763.4757,35407.5944,156904.2131,190783.8116,2742.1911,181306.5825,117989.4617,155515.5839,11078.9596,139665.7356,17190.8666,106987.8414,56857.5298,87849.4171,155564.8107,918.126
PF3D7_0108400,32953.3697,125324.2432,21790.3252,41715.3262,11414.0943,42842.5517,42439.5599,35033.7944,108423.1815,33687.2475,111055.7705,52672.9822,32867.978,39399.7999,14781.3262,3113.902
PF3D7_0108500,113380.6326,247748.5588,77890.7472,87073.7446,139133.6281,206799.102,111946.9365,80776.8764,433591.1859,71319.4576,245477.4366,390257.4456,141290.845,160328.0046,47715.8542,585627.2962
PF3D7_0108600,124597.3505,163595.1854,114006.1045,83586.22,2623000.926,225017.6262,130839.9076,110654.6187,378978.2971,62932.3518,431789.7628,235604.7428,161334.2891,186553.2859,66116.4492,392137.8798
PF3D7_0108700,49555.2775,34642.2515,71715.4398,45490.3962,8869.6572,33583.1701,59738.2798,47147.8715,39198.9838,62347.2028,14694.1793,50334.1755,62060.7315,70249.3736,62398.351,1765.7628
PF3D7_0108800,83563.1138,159642.6701,10894.6778,9783.9917,144551.3045,83223.2206,91998.5671,68431.5563,539792.5131,23498.3758,44875.4577,91334.1487,224505.698,207796.4993,76720.1498,135372.1419
PF3D7_0109000,225231.6622,107622.6115,150659.0099,178667.3948,62666.1104,141488.066,181447.0813,325191.5876,50571.0446,250991.8073,24611.733,73017.3869,91782.7136,100010.6535,119909.6525,0
PF3D7_0109100,201432.8682,99338.8022,35732.3226,185467.9812,11172.6523,197989.3696,246108.5684,269219.8686,27207.4205,46988.6856,85773.9834,115124.4263,198620.3798,217015.7083,42662.7187,0
PF3D7_0109200,51191.5343,29198.3495,143706.0802,98421.6846,7523.1115,31393.8263,85550.4309,56312.3068,6125.3569,126519.1217,3293.8945,38188.8546,86181.6313,51627.3077,14613.7172,0
PF3D7_0109300,52338.4534,64935.7761,41051.7406,21473.0192,271976.3731,23245.3281,30311.6624,52368.2332,136253.2435,17474.2536,216252.678,13495.6772,53215.525,53035.742,5680.8253,0
PF3D7_0109400,442740.6362,207565.0092,324648.81,414371.7147,14725.2809,336843.2069,370254.587,604993.2272,77141.1079,328134.1528,26988.567,105880.5985,148703.7354,140050.2811,153330.7523,0
PF3D7_0109500,220886.884,70143.8107,40881.136,17338.2006,27100.7877,86807.7157,177161.2627,108132.1661,38422.6931,20565.5667,74382.1263,158661.8408,264302.727,206685.0063,61679.376,0
PF3D7_0109600,25358.8141,7677.432,9396.5596,30442.4873,3099.0728,64661.9109,9636.3942,11243.5934,26284.1806,11363.0069,0,67931.5988,16661.4415,13651.3514,0,0
PF3D7_0109700,748.8334,0,0,1552.7349,0,0,1930.9293,2656.1425,2359.5234,0,0,4011.9738,1797.7077,0,0,0
PF3D7_0109800,21099.853,9336.3413,21765.5832,35818.4196,80758.0331,36909.7437,16740.8403,22411.4896,8401.8508,38164.775,67181.7822,39752.1761,19816.2707,18473.3841,27452.8214,0
PF3D7_0109850,140652.0628,866031.6818,156858.8401,232877.9921,146930.1921,189868.0373,189783.2996,216117.7122,918845.0589,151404.0416,823596.4434,239548.2695,176689.4823,305152.1534,41530.2028,233305.1501
PF3D7_0109950,475552.2636,1145713.8807,228740.7431,463305.1473,94406.3957,668318.9118,613312.8045,599072.6851,1905640.7959,135987.0536,592339.3953,505676.9964,621893.0304,713290.6468,165374.2818,763687.6293
PF3D7_0110000,2193648.2333,1812963.5114,2383797.8796,3402711.7046,29163.4764,1086595.8074,2246003.9013,2211496.5952,218899.7323,1200738.1609,345157.733,990436.5903,1803469.0814,1851325.7132,372210.4151,0
PF3D7_0110100,1197533.1878,5088978.1311,1127612.7961,1718052.88,271037.3127,1548205.4612,1151779.0957,1154974.8133,3975572.0574,657811.2887,1361191.4072,1574132.8368,1022166.2626,1112071.6521,249120.8968,2431900.8224
PF3D7_0110200,20270.1749,12691.1444,0,15868.8427,11526.5436,8589.3011,5973.5242,18708.4488,28024.5703,28175.3508,92523.642,26595.9528,10725.5374,13361.6279,20524.5546,0
PF3D7_0110400,119113.7926,68719.8041,97713.1435,127136.396,22436.3128,187252.7637,131555.8474,108118.0034,29339.1357,109287.2717,64298.8911,101655.0613,138337.5543,104033.1506,20206.5504,6009.6066
PF3D7_0110500,16632.8605,38270.8033,64709.1268,91970.3393,5578.5872,88001.0859,56880.6345,45362.4716,10598.2683,38684.9482,0,38417.496,16468.9645,32313.7354,59683.8869,0
PF3D7_0110600,69247.1251,16856.1185,48278.8317,62529.6406,12130.3352,109218.858,77369.5848,70862.4386,13849.9205,45233.4963,46151.6819,88020.9596,120398.6147,119629.8164,79871.4421,0
PF3D7_0110700,16813.8374,58974.4141,143237.0849,72279.3139,122202.1641,26490.7905,17060.3634,17576.6425,19382.6579,189932.7319,14592.1624,46139.7431,15358.2409,10008.0011,111753.0502,0
PF3D7_0110800,125626.9057,122175.8142,353230.1176,387172.5287,14290.866,212984.1428,154034.6116,175608.9725,19107.6416,279664.9139,0,208513.6758,124633.9129,101150.3181,250045.4346,0
PF3D7_0110900,68888.9733,346312.2133,97414.8682,181301.9246,96384.9895,64182.9338,49646.9746,69311.3835,255329.0734,121310.1518,374869.5911,40220.4502,53430.5372,53250.0278,237023.6681,0
PF3D7_0111000,53633.415,38515.2313,204832.5554,85639.5171,11343.0089,22697.7176,66101.2709,79670.5352,6566.0581,353738.6655,36813.7694,35140.6604,49665.585,72677.4099,900770.6962,0
PF3D7_0111200,3125.4706,42948.8964,28116.6959,2700.3265,24190.8205,0,11820.2871,4157.3143,28723.7609,28383.2466,0,2790.8536,1000.4331,13460.2186,58151.244,320737.9539
PF3D7_0111300,13083.8462,20419.9373,7259.686,15983.483,2355.061,11231.5801,15482.7682,13041.2707,22690.4524,25789.9443,10311.3219,24996.3412,10031.7529,10592.3947,27791.4779,0
PF3D7_0111400,32471.6369,25162.9098,3750.9628,14303.5171,2539.3155,8151.1722,12668.0833,14621.0693,12723.2248,7448.4884,855.2351,21633.7101,10501.5671,11955.4936,5312.0793,5755.2018
PF3D7_0111500,10155.919,20208.0978,17313.1611,20462.6888,7563.9512,15914.7479,13044.5311,13933.602,905.6778,14573.8679,44806.3761,9239.719,6440.288,14029.073,41486.2555,0
PF3D7_0111600,8835.9599,30119.6967,0,8651.9154,5699.1183,13589.9036,11645.2882,9576.5724,0,557.2344,2495.2833,7889.9704,7070.7645,7399.2205,0,0
PF3D7_0111700,0,0,1044.0622,922.4996,0,0,0,789.0241,700.9115,0,2261.4798,0,0,2394.9739,0,0
PF3D7_0111800,15347.2288,10593.8021,36616.8375,18033.0732,9859.2355,2832.5257,16884.9535,20323.2385,6286.5505,38443.5397,29645.0503,30697.2611,17193.7513,26988.6708,22382.0616,0
PF3D7_0111900,56810.0243,0,62956.9494,26995.3233,10992.5934,76453.2006,26042.5576,40581.3658,19889.3941,3582.6892,0,42273.224,13638.2569,19538.7609,67618.5291,0
PF3D7_0112000,2950.5112,870.3688,15978.9212,10118.2287,17917.9893,25133.2736,3277.3523,2012.6122,2860.5728,6183.3215,0,18239.7159,871.7818,1954.8823,27128.1035,0
PF3D7_0112100,0,0,0,4531.7089,0,15126.0333,0,1938.0103,0,2480.8846,0,35127.2411,0,0,9857.5624,0
PF3D7_0112200,3631.0633,27089.706,7049.4431,6639.3411,37250.6489,1370.7793,2928.0653,4507.8353,5824.6288,22707.5577,46311.4998,3890.7803,1331.3257,781.8807,14293.2835,0
PF3D7_0112800,12151.1124,7766.3001,15525.3675,7838.6933,1253.9781,5606.6047,10026.4502,8620.0982,0,14713.0066,0,18807.0106,23077.4285,21513.5434,0,73893.6627
PF3D7_0112900,2405.4373,5583.2575,1782.6413,1837.5983,4703.4535,876.2249,0,898.1246,9374.4844,8479.0875,92026.966,4748.0072,3647.1664,1090.4534,0,0
PF3D7_0113000,0,4775.8575,343.8392,1215.2207,1530.9183,6084.2837,906.7248,259.8479,1846.6395,332.6364,23832.6128,3924.8761,2673.1944,946.479,330.4248,0
PF3D7_0113100,793.9906,1903.0261,0,2778.2494,0,12364.399,2763.9507,2024.2277,156.3632,2816.5796,2018.013,12229.9893,2668.5618,4274.2709,22270.9158,0
PF3D7_0113200,17533.9581,6724.0254,4331.4035,3827.0882,5357.0144,15328.9625,12183.6527,10802.0575,2326.2449,419.028,0,17799.2522,22331.6487,30006.1316,10822.2946,0
PF3D7_0113300,4127.224,1648.6793,20783.8647,1426.3263,3394.0807,0,8691.2863,3812.352,0,7027.5827,0,22112.1479,2642.1694,3332.6983,0,0
PF3D7_0113400,246.006,7075.4876,577.3219,1020.2059,571.2184,5107.8971,4567.2986,872.5934,2325.445,7819.1658,0,11862.0876,472.465,264.8637,6102.7848,0
PF3D7_0113700,3212.8091,4004.2175,16021.9781,8493.9014,55763.8248,25571.6009,13917.9537,6125.3311,0,25894.0472,17147.9752,15491.7444,12649.1883,5880.4498,5796.4828,0
PF3D7_0113800,0,1743.3403,1004.0981,110.8986,496.7413,740.3192,275.8196,47.4264,1600.9455,1153.5174,271.8645,2865.4099,0,172.7475,60.3078,0
PF3D7_0113900,69558.6039,443579.9906,115092.4567,54289.7407,202344.8495,51387.7511,75372.6245,59256.112,885932.7158,71418.9395,365499.9358,163304.5741,159107.4784,121171.3775,153785.6915,795355.8916
PF3D7_0114000,79559.9913,171731.5391,460850.5741,391102.7059,2279.3494,80234.6585,101442.9998,91773.8551,45512.7144,212888.7746,129262.5439,42575.2282,57636.0324,55562.3937,76008.1356,73554.066
PF3D7_0114100,12057.0588,15171.5546,43769.2275,71095.9571,4374.3935,2607.7536,9715.6663,17374.0447,11278.5714,56457.5464,126407.827,0,11578.0458,12981.2969,10196.7622,0
PF3D7_0114200,0,1809.6322,0,0,0,0,0,0,0,0,33582.0799,0,0,2032.2523,0,0
PF3D7_0114500,17224.3698,58622.0612,3031.6348,7143.0789,189473.7281,80467.8264,34199.1452,18710.5096,119400.2149,0,70044.1639,69211.378,34734.1374,26426.2116,4855.6011,441894.1847
PF3D7_0114700,0,0,0,0,0,0,0,0,742.1416,0,0,0,0,0,20715.8102,0
PF3D7_0114750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PF3D7_0114800,0,0,0,0,0,0,0,0,0,0,3465.4951,0,0,0,0,0
PF3D7_0115000,1058.0886,0,0,274.2484,102.3687,1220.523,90.9457,312.757,277.8305,600.5494,0,3306.829,169.342,189.8661,3479.9139,0
PF3D7_0115100,16582.9638,0,25107.4574,3327.6207,0,14809.3367,0,9012.8107,0,10930.2383,0,0,6164.1839,6335.3388,603.1983,0
PF3D7_0115200,0,0,0,0,0,0,0,0,0,0,2038.3742,0,0,0,0,0
PF3D7_0115300,458.1888,0,0,0,0,3171.1709,0,0,0,0,107137.3638,2454.8072,0,0,80598.8311,0
PF3D7_0115400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PF3D7_0115600,0,3757.3992,9197.509,3250.6488,291663.7224,0,2425.4391,1390.1579,8026.9468,444.892,420357.7187,12598.5942,3010.7993,2953.7429,17235.433,0
PF3D7_0115700,572.0796,959.8069,83.909,1334.5076,4317.141,5444.2027,442.5465,190.2365,0,2922.3055,363.5006,2298.7439,1648.0545,1000.8903,9031.1721,0
PF3D7_0200100,90.3873,3812.8487,8696.8832,468.554,17104.9396,625.5797,745.828,0,3702.4563,9849.9811,0,0,520.778,583.8959,101.9218,0
PF3D7_0200200,0,837.0837,512.2616,2263.089,536749.8232,0,0,0,2063.383,15858.2826,315120.3722,2338.9579,0,2350.1534,0,0
PF3D7_0200300,405.8541,0,0,0,0,0,0,1079.6858,0,0,0,2174.417,0,0,0,0
PF3D7_0200400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PF3D7_0200500,399.5079,0,0,0,0,0,0,0,1258.8224,0,2030.7853,0,0,0,0,0
PF3D7_0200600,0,0,0,0,0,0,0,0,0,0,0,2259.8893,0,0,0,0
PF3D7_0200700,0,0,0,0,0,0,0,0,0,0,0,2348.5124,0,0,0,0
PF3D7_0201000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PF3D7_0201100,0,0,0,0,0,0,0,0,3987.2606,0,0,0,0,0,0,0
PF3D7_0201200,0,0,0,456.3308,2044.0152,0,0,0,0,0,0,2358.1454,0,0,0,0
PF3D7_0201300,0,0,0,0,11035.8714,0,0,0,831.9874,0,128850.9274,0,0,0,0,0
PF3D7_0201400,0,21087.6464,0,814.447,0,0,0,696.6055,19802.0322,0,0,0,0,0,64664.0939,0
PF3D7_0201500,2000.6942,6092.7723,3866.6255,8419.0484,4782.184,0,3884.3911,7931.4315,12978.9312,12290.6908,23331.0903,630.5285,3051.3319,1900.6395,11678.1519,0
PF3D7_0201600,2758.5559,1511.2389,231.2044,1225.7083,4117.681,0,0,0,0,2236.7138,0,0,0,0,23107.1689,0
PF3D7_0201700,0,503.5614,308.1593,136.1398,1676.9579,0,135.4391,465.7675,3723.7852,298.119,667.4852,0,126.0947,0,0,0
PF3D7_0201800,325.2738,311.8448,6488.4398,1348.9355,11140.3165,11256.263,2516.2368,721.0996,0,20492.6783,80191.7033,4356.7433,624.7021,0,13020.7822,0
PF3D7_0201900,323.4762,103.3738,22267.7313,6427.9276,0,373.1352,1779.4352,1912.3052,254.8129,35373.2961,17539.1938,577.6888,103.5416,812.6354,46749.5045,0
PF3D7_0202000,6165.7534,5911.1985,4034.81,5900.7357,8672.6096,4103.2499,733.7958,1892.6116,2241.6776,28534.833,25314.58,2541.0645,910.8916,255.3227,13102.9334,0
PF3D7_0202100,0,298.9758,0,1778.2447,85625.7327,0,160.8266,276.5368,3439.1716,0,7926.0233,3341.5626,0,1343.0229,22505.3793,0
PF3D7_0202200,1322.3392,950.8095,0,0,56611.0661,0,170.4881,732.8736,2604.1258,0,5041.3025,1771.1517,158.7255,0,5405.1845,0
PF3D7_0202300,0,0,0,0,2190.273,5222.8427,0,0,594.4439,0,0,0,724.6456,0,0,0
PF3D7_0202400,3345.3278,1151.308,5032.5299,5158.0338,2489.6628,9498.8104,4689.1176,5476.6219,7973.2463,9055.5262,8720.5264,2297.8251,4447.9687,3694.1181,2514.821,0
PF3D7_0202500,568.9704,7091.2442,11349.6091,1769.6732,223601.5518,0,5281.6958,2018.1613,21065.2517,12917.4373,63628.4007,28959.1757,3005.0124,6125.8506,28871.0023,4865.6783
