Gene,LD4,LD5,LD6,M,YR,ET,MT,LT,ES,S,LS,GD4,GD6,GD10F,GD10M
PF3D7_1445500,34020.072,31892.632,28530.307,14903.96185,31346.223,43450.01,19172.937,12270.092,10158.534,11343.972,20867.083,11015.394,6013.882,18466.654,33366.0306
PF3D7_1445600,31501.935,32088.771,29225.442,63929.29745,95188.434,80968.588,53072.646,36620.339,25564.737,29066.992,45202.154,16587.122,16771.832,10288.763,14842.928
PF3D7_1445700,220552.555,196345.003,202691.454,73265.48415,217117.612,272060.641,334874.506,221382.578,114584.957,94614.654,72184.312,122923.529,111645.424,80152.582,36511.3135
PF3D7_1445800,0.0,3762.785,5208.085,4694.87545,1851.871,619.168,1647.174,8697.352,16839.21,8198.213,10177.184,8458.353,6035.688,10993.49,12350.2504
PF3D7_1445900,83562.763,103787.468,72684.877,69753.34580000001,171562.055,169142.593,155855.232,84977.976,39736.727,44686.71,40991.617,96652.913,84050.1,55535.724,72053.2361
PF3D7_1446000,209586.036,128127.267,256836.211,,,,,,,,,,,,
PF3D7_1446100,6994.345,12537.712,7876.72,13526.27095,3849.936,652.698,788.024,1511.354,4884.557,5337.307,6859.406,19956.214,32984.845,31749.069,5680.8253
PF3D7_1446200,641415.337,1292911.386,590463.223,79979.12659999999,440889.706,501141.33,469781.932,350462.752,97402.809,76523.173,57343.788,412436.861,664598.397,702020.424,64303.696
PF3D7_1446300,15830.837,20915.78,21646.705,48227.75355,18856.43,19935.295,20476.146,11452.671,12581.12,18901.129,39219.455,27273.336,22989.588,22359.727,30438.8923
PF3D7_1446400,88884.3,115474.683,110721.183,12059.6967,2327.839,2268.516,9177.953,18320.508,16866.701,12629.543,11154.116,12803.721,14935.94,10717.15,53818.4931
PF3D7_1446500,50904.321,38954.95,43197.928,12831.70135,28250.228,37440.225,27455.698,29528.134,21510.644,20983.765,15251.734,27421.688,25936.084,18436.859,62340.1436
PF3D7_1446600,106591.584,127586.711,127030.534,81366.63245,9059.993,3902.246,39291.477,114173.222,159852.265,153880.809,154254.111,326459.603,318897.62,512007.056,176740.1105
PF3D7_1446700,30470.237,24944.473,24572.087,38384.93155,3365.794,7530.015,26237.443,51876.159,75330.013,68749.207,61276.112,61081.308,61597.693,58624.942,5445.071
PF3D7_1446800,39199.492,24300.615,21946.097,15123.311150000001,1626.084,5107.585,37516.029,36956.771,33016.69,22279.56,23312.141,39951.451,47789.781,60822.632,8768.2303
PF3D7_1446900,13879.412,34486.988,46387.289,15046.185150000001,25024.732,23037.17,25871.884,25452.927,20805.703,17683.941,14421.419,31280.426,29818.442,53203.896,11855.9258
PF3D7_1447000,291472.632,300742.761,216013.755,170131.2846,483848.339,723871.359,686644.162,450802.844,217395.446,196564.291,123005.92,196016.448,163504.056,158704.036,126123.5422
PF3D7_1447100,18806.069,31011.013,53291.565,20235.7114,72035.064,68745.436,46327.886,48087.053,46585.619,32336.037,22004.002,31816.251,27942.166,45066.786,18744.4766
PF3D7_1447200,28864.999,80339.462,119898.994,35301.85995,105677.937,91300.006,68266.241,72937.788,74634.739,60868.618,40080.316,50230.049,37752.313,80197.838,23317.2373
