Gene,LD4,LD5,LD6,M,YR,ET,MT,LT,ES,S,LS,GD4,GD6,GD10F,GD10M
PF3D7_0100100,0.0,38.273,340.462,25553.8848,3185.455,3808.792,4943.085,7527.775,14514.794,16318.697,16245.943,14900.922,11866.602,4827.688,22242.9372
PF3D7_0100200,0.0,0.0,547.156,7594.54585,6288.801,12957.495,11138.444,1092.069,6569.635,5181.508,7876.281,4444.33,10502.141,11862.173,1975.536
PF3D7_0100300,0.0,0.0,0.0,585.7030500000001,1423.689,840.613,115.838,35.176,155.553,187.761,157.208,311.928,143.654,638.884,146.1372
PF3D7_0100400,,,,26922.8266,6631.443,36390.026,33755.01,14045.321,25984.142,17509.668,27940.466,40741.291,33626.582,61624.91,55605.5958
PF3D7_0100600,0.0,443.68,0.0,8285.39055,387.239,1355.991,1198.056,250.009,1793.108,1744.33,4111.653,5005.323,2120.286,3277.955,0.0
PF3D7_0100700,,,,0.0,125.916,116.722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PF3D7_0100800,,,,121.65065,0.0,310.962,297.955,36.152,0.0,48.155,28.91,0.0,0.0,0.0,0.0
PF3D7_0100900,,,,301.51279999999997,21.072,1021.829,3680.13,261.569,204.577,604.706,681.391,0.0,0.0,0.0,0.0
PF3D7_0101000,,,,391.92560000000003,212.884,188.099,977.306,383.112,148.246,324.841,353.233,179.058,0.0,0.0,5162.1834
PF3D7_0101100,,,,38.811,328.725,297.119,26.896,63.114,0.0,106.522,53.246,160.689,834.106,0.0,0.0
PF3D7_0101200,,,,0.0,402.088,164.302,0.0,0.0,43.387,0.0,0.0,0.0,0.0,0.0,0.0
PF3D7_0101300,,,,832.2635,473.736,30952.734,24196.176,1119.003,1027.45,925.024,993.368,2317.843,1904.243,403.947,0.0
PF3D7_0101600,,,,3160.0744000000004,998.702,4888.821,4190.769,446.137,1746.155,1094.624,1896.533,1066.943,177.398,0.0,0.0
PF3D7_0101800,,,,931.344,24.18,80.375,407.308,0.0,67.912,124.802,191.887,0.0,0.0,0.0,0.0
PF3D7_0101900,,,,2863.89865,248.374,106.684,0.0,78.641,0.0,225.335,370.766,0.0,805.647,2440.22,0.0
PF3D7_0102200,4334.402,367.805,168.3,3359169.35105,575214.28,57834.86,29166.083,27226.895,36840.339,71932.021,313427.052,6302.665,980.445,149.433,200.8325
PF3D7_0102300,,,,37331.34925,7433.024,17120.894,246123.665,331133.646,150291.278,88471.448,78837.83,210.074,411.576,552.591,1395.6353
PF3D7_0102400,0.0,1369.198,9266.059,,,,,,,,,,,,
PF3D7_0102500,0.0,410.009,1126.194,369867.2632,59799.727,6184.315,1423.866,6371.191,39273.434,182096.495,432260.353,6957.21,1587.001,5649.647,10520.6401
PF3D7_0102600,0.0,91.49,522.926,34969.92395,51004.47,384575.76,52982.463,20401.611,18515.737,19826.527,17734.447,10903.9,9485.393,4806.894,3250.9828
PF3D7_0102700,0.0,2693.486,2130.963,210686.2936,81474.698,15032.363,8085.564,9591.547,31683.781,31098.979,96127.005,10723.406,16298.825,10214.086,79492.5158
PF3D7_0102800,9273.574,11522.036,16444.807,5083.92465,2060.09,1693.403,11663.01,16485.795,9264.969,5966.39,5979.043,5587.434,21299.166,4978.562,0.0
PF3D7_0102900,59686.17,75446.145,61412.176,54878.7818,245033.99,383960.887,403930.499,249125.072,154765.144,106540.43,83441.552,23937.843,19916.569,24876.912,2229.5098
PF3D7_0103000,3463.827,8620.656,9829.795,12219.9285,1430.362,881.918,5447.934,20708.792,34271.177,18023.105,19596.116,34798.025,32105.058,17383.186,25408.4139
PF3D7_0103100,2886.992,15242.277,16569.743,9524.61705,1812.23,4089.286,10843.642,23654.904,29934.319,25072.875,17099.815,20194.523,26187.974,33795.575,10122.3972
PF3D7_0103200,279545.848,414201.479,482215.239,95086.95615,81960.419,193436.061,311524.957,270881.938,228579.809,191271.5,139892.672,102446.577,106130.726,135446.523,85245.7304
PF3D7_0103300,54451.406,39511.824,33012.161,65397.2959,82260.964,80079.65,71076.939,68674.46,76190.354,64321.874,73530.883,48006.939,43391.606,36657.81,31182.4796
PF3D7_0103400,12778.286,15346.441,17128.144,192627.89195000002,20483.847,53112.467,120906.577,121029.325,154248.791,188181.879,202044.691,101911.891,120629.331,185734.651,118713.3807
PF3D7_0103500,2511.909,9473.895,8788.164,6099.3027,1201.712,1567.622,10363.551,12649.403,11425.956,7899.535,8772.057,16707.437,20100.303,7647.35,34591.7456
PF3D7_0103600,3930.584,6506.082,6897.584,27091.039300000004,4844.523,18753.484,39007.799,38939.171,60697.231,65355.545,36890.032,56325.084,67529.215,195894.8,54990.8959
PF3D7_0103700,12463.724,1270.046,3295.023,16290.794450000001,22501.216,26123.309,31093.985,32073.155,28984.222,18941.761,17086.598,12332.738,7557.381,25206.528,0.0
PF3D7_0103800,0.0,1083.029,3471.34,30627.19885,6206.826,3716.232,2627.871,18263.781,60083.411,48876.25,38549.652,427525.059,542783.64,576402.969,173085.6536
PF3D7_0103900,20074.17,24519.74,50108.547,13240.51985,3448.109,11050.417,36400.149,46855.685,40191.329,31129.52,21932.605,44887.174,59003.385,69455.591,22468.3782
PF3D7_0104000,23724.951,6388.637,22916.678,10494.3324,1089.036,437.775,908.705,4936.624,12065.23,7189.818,11733.719,244662.193,305809.629,368013.988,184578.679
PF3D7_0104100,6668.258,3628.618,7816.57,11520.23945,1427.685,985.468,1540.079,8497.142,13047.215,14955.995,16018.714,7476.179,10359.71,24983.02,1434.9044
PF3D7_0104200,146811.634,129915.086,109000.426,211008.51495,31612.06,30324.971,52097.371,46022.897,58794.744,97586.406,224003.347,21331.138,12472.923,9997.354,24524.2205
PF3D7_0104300,20116.045,18360.532,16160.675,295836.7361,93670.889,45892.231,28230.516,25367.028,41505.944,66809.608,123851.252,20587.152,16838.969,9617.626,18285.2664
PF3D7_0104400,63638.525,79895.946,132611.405,32458.67035,7873.071,16177.482,44503.95,63208.964,67482.841,49519.39,40461.244,72130.193,110745.379,125581.832,18384.2177
PF3D7_0104500,359064.302,446953.215,326171.161,21869.5276,100195.522,149569.195,189582.437,121787.085,71630.138,43637.493,34459.885,18529.604,17774.86,13142.266,0.0
PF3D7_0104600,11866.991,6965.118,7989.429,2099.0249000000003,2894.79,5722.185,7390.944,5011.619,6679.573,3878.875,3839.873,3878.86,3378.981,8350.243,8137.2951
PF3D7_0104700,0.0,3242.824,3635.035,2150.08965,136.14,81.06,705.592,1404.049,5150.905,3025.162,4655.689,24733.059,19454.296,14507.919,24937.0935
PF3D7_0104800,6698.388,8122.238,13955.749,38937.06345,6645.707,2542.307,13124.058,26965.188,35708.261,30687.118,45602.525,236578.272,370679.597,703304.044,216266.4686
PF3D7_0104900,56021.712,47493.446,81925.05,,,,,,,,,,,,
PF3D7_0105000,46478.873,24584.267,44277.311,,,,,,,,,,,,
PF3D7_0105100,51722.877,257358.433,383638.475,4024.80855,494.064,1372.129,13101.928,19609.759,17090.901,7942.446,8680.104,12386.208,11520.772,5529.229,0.0
PF3D7_0105200,172356.425,94882.674,107519.448,13802.3057,3655.512,38318.733,72268.94,47115.37,25663.864,30201.218,24376.202,44466.711,30714.497,16801.374,32317.1918
PF3D7_0105300,14807.585,37626.536,81321.765,148536.6859,10618.285,1793.56,10755.327,84641.023,214290.182,207009.247,241187.039,87784.996,58754.961,34727.026,91255.7227
PF3D7_0105400,0.0,1117.844,2558.113,99264.1842,7964.544,1719.576,2553.587,19917.404,99905.656,120233.118,178507.059,36766.623,23472.79,26069.487,437.4605
PF3D7_0105500,1335.035,20738.459,25263.115,9069.79425,535.918,2079.478,11819.162,12874.306,13586.15,9756.842,9735.238,19459.928,23572.768,26428.903,33351.4989
PF3D7_0105600,17906.402,17390.235,21050.61,7480.52195,8320.577,12052.86,13817.454,12850.745,12056.271,10390.946,8613.015,29388.504,33630.219,14877.368,18735.0376
PF3D7_0105700,109564.264,54327.211,64428.377,5713.230149999999,644.736,617.985,5695.324,11208.44,13339.887,12460.817,8626.754,116126.636,111627.058,60029.904,127336.6843
PF3D7_0105800,48740.655,60315.901,74942.593,84721.2423,6418.797,2932.917,35417.575,80425.701,116035.719,123681.841,114289.259,48135.448,48063.303,26888.56,23556.4397
PF3D7_0105900,58616.856,37725.573,48819.063,9164.04235,735.013,903.737,7543.194,13263.774,15627.153,13142.082,12151.514,19725.299,17348.053,27293.92,10602.3009
PF3D7_0106000,6119.22,13734.329,19803.229,50318.87245,4601.326,2525.433,13716.931,43080.436,76505.017,77093.518,84342.359,29006.977,27723.033,56840.546,30327.9376
PF3D7_0106100,57013.568,55637.461,99960.349,36333.11885,34059.078,62421.558,67044.633,74658.821,63451.267,51914.292,52704.102,34373.78,33606.627,24934.89,36243.2474
PF3D7_0106200,585.05,9444.345,31138.573,11564.2414,1792.434,273.217,1962.856,9638.579,24936.343,16335.27,18524.037,12230.109,13632.558,15318.467,71539.3948
PF3D7_0106300,82596.371,93570.332,70817.768,101728.20405,126469.494,114331.084,126334.557,195369.408,188603.759,164603.462,123448.837,107235.954,86216.281,43389.519,49583.9077
PF3D7_0106400,326919.265,172176.425,115819.973,21737.0527,169926.329,212952.957,168251.416,57863.688,34758.531,27087.146,19836.366,24252.951,37254.045,48214.795,1722.4424
PF3D7_0106500,5636.814,12913.561,22589.676,7077.3479,1209.021,340.935,5004.062,18983.505,19413.903,16434.158,11370.126,22186.768,31925.955,16458.646,74894.594
PF3D7_0106600,50603.553,6185.315,1446.647,22338.86575,1099.658,147.394,258.314,2727.637,18531.235,14595.954,20010.559,795.757,726.3,856.756,0.0
PF3D7_0106700,37303.619,62196.784,44794.535,46182.98805,69439.47,85256.898,72546.57,57890.827,64524.988,56048.296,51146.37,159376.936,152336.959,103528.456,78490.6072
PF3D7_0106800,4639.156,14161.582,27225.539,11001.7785,1826.439,5301.682,21081.186,41115.752,36389.74,27828.967,21205.227,56181.577,74941.267,52377.026,37657.1277
PF3D7_0106900,42194.726,15124.725,20526.862,8378.1281,1264.954,1438.61,10971.006,21286.326,25561.358,19966.026,15594.505,5673.207,5170.075,7772.521,204.8791
PF3D7_0107000,89247.993,73389.276,110905.834,41970.9886,4673.582,4411.506,52828.84,147493.918,157340.45,96706.59,61837.677,108368.542,91714.976,50521.855,113781.4523
PF3D7_0107100,40130.217,20750.461,19383.938,2826.5009,458.776,1946.923,10545.261,10604.028,10869.002,4373.04,5044.442,18292.562,29963.572,19585.588,25123.7845
PF3D7_0107200,3959.914,25466.974,24611.43,5189.0446,692.633,2691.077,21030.362,24084.049,22863.495,11707.82,9814.238,7960.17,21089.587,14158.069,79661.108
PF3D7_0107300,80977.082,44964.87,24473.676,13013.937300000001,998.334,927.134,4113.376,5202.036,13784.602,12973.104,14376.148,22524.241,30228.503,64366.678,21517.7674
PF3D7_0107400,79525.4,55620.872,84788.025,11808.642,6746.4,3969.907,10831.661,24450.88,20918.898,13843.237,15058.497,31248.196,27852.866,26451.425,4904.5226
PF3D7_0107500,51393.612,49936.685,40243.262,270339.04825,217137.771,178015.974,131241.236,64012.583,40723.785,49751.969,142267.19,54143.733,40709.447,34587.319,66621.4085
PF3D7_0107600,37491.659,8961.713,4768.107,2810.1263,259.297,111.735,267.45,530.589,1213.774,2067.735,2203.593,4856.876,2645.165,2583.831,12522.5279
PF3D7_0107700,0.0,2075.281,2645.359,2787.40765,967.388,1845.232,11790.311,11067.442,10157.669,5987.994,7043.812,22513.189,25873.927,30639.945,37022.871
PF3D7_0107800,32386.766,24191.209,38031.407,11895.003,2612.53,14551.762,35460.93,40375.184,38439.231,34858.083,20709.102,7435.593,5711.443,6675.521,2872.5222
PF3D7_0107900,22724.019,44411.585,65560.18,7329.45695,6431.925,37166.508,50359.864,41762.911,22959.964,17858.977,10725.243,38530.926,39803.518,22026.849,69674.6133
PF3D7_0108000,213216.294,101546.97,105079.165,69995.40830000001,56246.028,86011.324,150770.77,248315.113,244624.751,168021.491,114870.428,112151.954,90950.944,77607.941,17911.4179
PF3D7_0108100,7593.867,10871.992,16642.616,5177.7642,709.589,1856.66,7336.592,10706.011,12869.595,8061.692,6872.089,10067.143,16766.664,36836.006,2434.0952
PF3D7_0108300,39763.961,47896.857,52632.771,231421.86395,234095.394,275158.329,193590.648,136214.685,120415.404,151385.314,140276.695,141483.833,148619.341,83898.263,155564.8107
PF3D7_0108400,2413.748,11639.05,17716.808,51878.3275,18153.38,16511.146,17696.642,15510.838,16224.461,9547.783,16841.053,32153.007,38500.788,41646.92,14781.3262
PF3D7_0108500,138.514,1636.307,618.058,1634764.23935,735359.412,170232.226,33633.555,19614.95,32273.603,60919.398,544275.511,92781.708,117710.593,230625.432,47715.8542
PF3D7_0108600,65445.477,37863.374,29870.35,1995630.5705499998,893767.638,209393.474,51454.066,43150.316,58868.232,84410.725,671200.995,107396.558,132361.126,194497.439,66116.4492
PF3D7_0108700,24027.689,25546.57,33059.257,22883.5481,22976.53,34522.322,27832.8,48023.81,49857.133,44420.464,27238.381,55587.038,50704.131,60881.427,62398.351
PF3D7_0108800,3002.345,14244.041,15542.573,14766.031449999999,5848.099,9805.577,15980.849,24942.815,27685.296,19370.074,19042.722,34747.261,66787.93,174545.449,76720.1498
PF3D7_0108900,2304.551,811.8,56.706,,,,,,,,,,,,
PF3D7_0109000,42608.15,5728.601,2380.491,262839.75395000004,31446.421,4268.362,2447.867,10658.331,63118.165,119223.302,350685.562,184852.689,224779.636,88270.251,119909.6525
PF3D7_0109100,0.0,848.046,2140.93,73445.47975,5554.242,592.307,619.425,2812.069,15505.877,20030.556,60557.179,140877.724,190076.623,176920.171,42662.7187
PF3D7_0109200,47204.658,120169.314,121010.957,10349.85565,4482.458,16320.559,31394.635,36995.221,35012.382,25187.527,17193.287,97773.1,74943.921,58665.931,14613.7172
PF3D7_0109300,57670.457,126816.839,130796.054,6495.00635,1173.942,3189.298,11471.692,15378.02,20097.507,9115.166,12521.21,38287.738,30849.869,39915.648,5680.8253
PF3D7_0109400,148311.856,145672.821,198888.311,25956.45055,5566.04,27107.01,83390.657,64674.611,47695.966,36901.848,32946.51,393920.387,410056.293,131544.872,153330.7523
PF3D7_0109500,13744.502,31322.688,30128.062,16382.29135,31978.418,49671.38,38233.129,37630.088,29882.303,26855.932,19600.288,93035.407,98166.678,209883.191,61679.376
PF3D7_0109600,30905.062,141913.701,98585.632,10663.25545,19049.92,14550.311,34175.945,21104.638,12847.296,11895.911,9259.072,21732.62,24226.226,32748.131,0.0
PF3D7_0109700,91787.809,50177.551,46372.476,16995.61425,58706.671,41827.445,21417.073,17249.952,16008.271,19032.407,11169.379,767.189,1146.768,1936.561,0.0
PF3D7_0109800,63669.473,55111.193,75933.762,26978.21355,51828.041,67042.107,46049.936,57873.55,51862.658,50783.096,25216.281,26227.952,28556.712,26013.944,27452.8214
PF3D7_0109850,26522.963,123732.831,176350.71,6744.028850000001,3589.788,3732.319,5448.459,14485.539,18393.448,11333.255,10243.314,176796.298,186793.273,240463.302,41530.2028
PF3D7_0109950,52131.925,17095.526,20729.128,17039.362549999998,3755.224,10848.179,27855.855,51672.05,48924.441,38421.523,26285.223,389199.385,504172.864,613620.225,165374.2818
PF3D7_0110000,113432.749,74323.084,101930.092,28907.7897,14500.538,20217.868,42159.176,61790.3,53142.777,45737.726,27916.943,2660052.606,1686208.616,1548410.462,372210.4151
PF3D7_0110100,10927.306,18484.137,20897.487,8298.927,17120.794,16678.803,23012.847,23906.427,24573.112,16943.202,12723.41,1347732.955,1128192.665,1236123.584,249120.8968
PF3D7_0110200,66790.193,29591.256,36091.291,6895.3538,8788.082,20049.077,21081.995,24528.56,30850.788,13937.826,15194.798,12046.339,15361.656,16894.373,20524.5546
PF3D7_0110400,74962.099,66394.664,87777.672,30232.59055,68280.747,78618.242,79426.725,83821.74,87886.208,45450.877,39891.123,114654.444,134053.472,114675.255,20206.5504
PF3D7_0110500,31751.67,31474.579,43089.769,10509.3106,5720.558,19684.05,24299.317,24940.649,17169.24,16927.608,12321.65,57770.776,57232.285,29066.732,59683.8869
PF3D7_0110600,28425.562,23872.097,27997.981,85184.7605,57517.841,36998.149,32866.32,35933.156,48721.876,57430.389,61599.79,60018.532,75671.094,109349.797,79871.4421
PF3D7_0110700,34347.811,85830.689,71315.827,37429.70075,10607.756,14264.103,113183.747,90218.072,66793.919,58781.042,49311.404,77443.412,62765.132,23835.328,111753.0502
PF3D7_0110800,5349.532,17740.884,17930.965,65862.48655,59583.658,86089.769,94046.013,63643.312,53195.057,62328.659,83654.468,288676.517,205573.16,144765.969,250045.4346
PF3D7_0110900,183925.375,52563.911,85484.962,5886.4611,20972.893,38644.181,44167.107,21031.438,15009.876,9518.455,8012.974,115868.589,76112.861,48967.005,237023.6681
PF3D7_0111000,1757.833,10314.461,14743.269,19810.3517,1939.358,1213.484,8482.495,24193.263,30536.791,31517.48,30008.062,114701.829,130552.047,52494.552,900770.6962
PF3D7_0111200,14705.741,22607.835,31108.993,3415.276,461.679,931.814,9197.583,11925.799,12430.431,8624.276,7424.624,11314.164,11090.212,5750.502,58151.244
PF3D7_0111300,61423.019,61065.738,68998.723,13665.871599999999,1966.791,8000.988,41699.391,66743.893,45183.178,42547.278,19448.773,12109.005,16386.391,15206.83,27791.4779
PF3D7_0111400,62590.235,37519.299,52196.934,14864.7271,1624.664,5032.994,25079.255,40460.858,50157.863,41375.453,25016.527,16842.039,10722.203,14696.924,5312.0793
PF3D7_0111500,9757.782,15772.204,20672.875,52155.82755,6462.534,9832.505,55126.163,77273.235,82593.345,78200.29,100479.068,15977.256,14366.687,9903.027,41486.2555
PF3D7_0111600,31663.783,12646.224,18152.079,2657.1907,2885.685,12050.093,13839.617,11536.918,5028.185,2960.107,3426.322,5829.292,8842.25,7453.318,0.0
PF3D7_0111700,32632.315,27469.526,33826.959,124.1724,21.195,276.587,236.187,216.189,0.0,186.041,71.385,655.521,197.256,798.325,0.0
PF3D7_0111800,20508.096,32891.063,38639.61,15870.11605,8779.813,36507.331,51811.183,45579.348,41654.288,30967.275,22915.301,23332.38,19621.064,24959.894,22382.0616
PF3D7_0111900,676.679,10568.57,34722.595,39998.0115,21910.941,49379.408,102239.276,140782.056,116818.498,76526.782,60006.829,48920.766,36664.953,25150.081,67618.5291
PF3D7_0112000,60116.412,79204.575,76785.82,4324.00065,10912.685,18112.219,21915.486,26080.077,14584.13,9554.851,6839.764,9682.554,9151.64,7022.127,27128.1035
PF3D7_0112100,,,,21768.69315,10893.381,6671.445,1594.087,1593.462,2405.474,1148.082,7729.278,1510.57,4886.232,11709.08,9857.5624
PF3D7_0112200,849.284,1641.28,1312.366,8175.9778,3897.049,36893.505,74243.135,60073.194,29503.177,19339.346,14526.409,5773.282,7878.559,2001.329,14293.2835
PF3D7_0112300,8354.534,4013.995,6079.012,,,,,,,,,,,,
PF3D7_0112500,137063.585,68517.897,75008.978,,,,,,,,,,,,
PF3D7_0112700,386708.948,35145.815,82229.62,,,,,,,,,,,,
PF3D7_0112800,58823.821,42806.305,46584.014,4502.365900000001,21306.431,1479.652,869.16,4810.795,9677.679,7644.054,7268.446,11838.391,9741.54,21132.661,0.0
PF3D7_0112900,5895.07,4636.301,5048.989,11154.00195,20422.329,53266.728,20154.883,6298.537,5276.271,8872.556,11136.467,2008.559,2563.359,3161.876,0.0
PF3D7_0113000,145651.923,121520.036,97418.8,164921.74675,806164.313,2178281.016,958311.315,276360.196,177804.756,356116.421,88084.722,519.687,1895.873,2514.85,330.4248
PF3D7_0113100,0.0,971.305,1168.956,1747.8236,437.135,824.153,465.647,428.384,2427.828,4207.027,2879.946,1190.747,4992.289,6390.941,22270.9158
PF3D7_0113200,1655.523,7802.05,36120.463,2826.3483,492.332,11071.868,13232.348,4464.789,6212.135,5370.509,3282.514,8564.15,9683.425,23379.011,10822.2946
PF3D7_0113300,0.0,14510.847,10013.525,401.05549999999994,5975.81,1752.543,129.673,158.859,342.554,291.642,633.092,8779.138,4882.805,9362.339,0.0
PF3D7_0113400,,,,364.43315,22.518,43.963,49.842,40.121,322.289,318.788,480.197,614.511,4591.739,4199.805,6102.7848
PF3D7_0113600,0.0,227.369,383.214,,,,,,,,,,,,
PF3D7_0113700,137.767,2412.401,846.395,56673.98215,131073.673,105007.97,17810.766,10037.391,25487.671,17295.022,26887.848,9242.896,17877.233,11340.461,5796.4828
PF3D7_0113800,0.0,0.0,15.048,1520.8631,678.764,602.495,670.265,972.065,2354.076,1581.356,1547.586,371.666,554.271,1012.719,60.3078
PF3D7_0113900,46843.09,21397.702,24519.005,17421.61435,98504.163,46532.918,7738.346,11422.478,16717.381,10108.955,14124.795,79646.934,64358.857,147861.143,153785.6915
PF3D7_0114000,0.0,11.867,2289.421,28016.7166,3590.43,2259.204,1836.993,3807.757,19363.622,40638.719,27640.604,310504.424,121585.072,51924.551,76008.1356
PF3D7_0114100,,,,3676.62795,642.919,44241.839,45277.787,5968.644,5647.235,5395.805,4444.637,42307.414,21538.753,8186.448,10196.7622
PF3D7_0114200,,,,1042.27085,124.284,168.011,3318.036,2299.824,2701.583,1689.06,845.225,0.0,0.0,677.417,0.0
PF3D7_0114300,0.0,125.967,16.724,,,,,,,,,,,,
PF3D7_0114500,0.0,0.0,1698.166,0.0,25.286,0.0,30.093,0.0,0.0,0.0,0.0,9133.028,33344.37,43457.242,4855.6011
PF3D7_0114700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20715.8102
PF3D7_0114750,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PF3D7_0114800,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PF3D7_0115000,0.0,5151.567,360.308,14.19775,5.178,0.0,0.0,0.0,5.718,31.484,0.0,444.112,556.194,1222.012,3479.9139
PF3D7_0115100,,,,0.0,0.0,162.18,29.846,0.0,0.0,32.977,0.0,15006.014,8688.096,4166.508,603.1983
PF3D7_0115200,,,,32.28445,41.149,0.0,22.373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PF3D7_0115300,,,,0.0,26.905,41.098,25.564,0.0,0.0,0.0,0.0,152.73,792.793,818.269,80598.8311
PF3D7_0115400,,,,0.0,31.287,94.851,29.727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PF3D7_0115600,0.0,5851.333,0.0,63.10685,0.0,34.885,0.0,0.0,25.417,24.16,19.597,4149.386,1065.122,6187.712,17235.433
PF3D7_0115700,0.0,0.0,167.278,12.8581,3.139,0.0,4.494,0.0,0.0,0.0,3.576,663.499,2249.823,1649.23,9031.1721
PF3D7_0200100,0.0,0.0,60.401,435.6649,545.954,164.532,198.791,158.089,276.312,271.893,350.102,3085.275,2805.347,368.225,101.9218
PF3D7_0200200,0.0,0.0,67.559,1031.0164,308.821,156.034,384.061,125.629,79.329,240.457,459.805,925.117,3964.571,1563.037,0.0
PF3D7_0200300,,,,241.8048,19.335,0.0,0.0,101.251,0.0,22.31,20.294,135.285,269.921,724.806,0.0
PF3D7_0200400,,,,0.0,0.0,141.378,752.074,0.0,30.856,174.176,198.439,0.0,0.0,0.0,0.0
PF3D7_0200500,0.0,0.0,0.0,852.37365,23.459,178.623,133.739,19.169,77.552,60.984,199.356,133.169,0.0,0.0,0.0
PF3D7_0200600,,,,177.7234,24.769,226.717,167.709,0.0,55.973,92.748,175.619,0.0,0.0,753.296,0.0
PF3D7_0200700,,,,296.45635000000004,44.982,1116.958,1795.362,25.228,79.653,337.586,570.378,0.0,0.0,782.837,0.0
PF3D7_0201000,,,,237.9826,0.0,0.0,0.0,0.0,32.308,27.385,207.416,0.0,0.0,0.0,0.0
PF3D7_0201100,,,,0.0,0.0,0.0,0.0,0.0,0.0,139.122,126.549,0.0,0.0,0.0,0.0
PF3D7_0201200,0.0,0.0,0.0,483.1228,0.0,313.721,322.344,181.589,142.724,613.932,604.211,152.11,0.0,786.048,0.0
PF3D7_0201300,,,,294.78725,79.349,755.344,1068.734,145.155,267.201,355.403,196.222,0.0,0.0,0.0,0.0
PF3D7_0201400,,,,2078.68755,268.068,6031.381,1338.792,371.507,975.512,2243.08,970.647,271.482,174.151,0.0,64664.0939
PF3D7_0201500,0.0,12967.341,71657.77,9371.5942,6966.554,52977.959,19469.045,17889.211,14591.77,9922.469,11932.806,4762.123,6026.628,1860.833,11678.1519
PF3D7_0201600,0.0,1006.94,5360.87,12804.328000000001,113458.21,242535.764,61992.933,22221.161,15855.764,9204.724,10995.666,1405.156,559.178,0.0,23107.1689
PF3D7_0201700,0.0,1089.742,2141.194,106398.3216,410885.719,100911.115,5196.68,1322.649,4344.98,5456.657,38225.696,148.1,224.831,42.032,0.0
PF3D7_0201800,4463.336,1373.656,1050.621,46926.210250000004,264738.628,299230.707,79409.164,21398.956,20374.885,17173.452,18903.892,2720.883,8746.569,1660.482,13020.7822
PF3D7_0201900,0.0,696.408,1416.766,15428.79685,42904.471,175992.371,43944.633,18939.835,21528.846,22401.519,12053.246,9673.045,9859.543,497.955,46749.5045
PF3D7_0202000,2440.532,4515.575,20492.547,32166.16145,424589.489,460034.344,97654.217,45973.874,34317.441,31251.828,19704.557,5367.1,8816.123,1235.76,13102.9334
PF3D7_0202100,450310.116,362958.696,296624.083,31601.624900000003,18423.677,2412.526,926.508,634.453,1447.777,2161.781,16173.367,592.748,109.341,1561.529,22505.3793
PF3D7_0202200,3118.646,7944.548,6426.316,203018.56045,379235.618,75331.225,5975.527,1318.996,3775.307,4735.515,60919.736,440.78,225.84,643.292,5405.1845
PF3D7_0202300,11001.99,11594.455,2849.946,9643.882450000001,6557.266,18991.46,34270.426,3977.018,2433.315,691.955,2820.079,0.0,1305.711,241.549,0.0
PF3D7_0202400,27219.73,54596.289,80431.401,31771.0921,65117.991,483953.633,243814.059,72832.795,104400.714,97162.366,40770.868,4511.964,7180.019,3479.971,2514.821
PF3D7_0202500,24937.619,9596.94,4776.965,2913193.58805,3263431.851,1433863.449,128007.892,17651.113,106950.967,225178.278,1977596.495,4562.751,5054.324,12696.68,28871.0023
PF3D7_0202600,45935.511,33530.7,33723.12,12208.2973,8089.303,23373.695,31047.375,35824.301,29858.153,22719.607,17281.526,67777.407,84651.56,141546.282,15994.6008
PF3D7_0202700,41567.211,37813.584,51512.944,11137.55795,1391.224,5507.276,16508.475,25602.581,33627.558,17753.139,20545.371,17298.017,48945.455,30764.035,46932.9113
PF3D7_0202800,0.0,2506.122,4152.966,13078.795,893.046,505.897,7703.742,21830.227,32121.135,19843.541,18315.679,31792.938,29038.347,21510.689,40461.841
PF3D7_0202900,,,,12643.55945,1016.949,518.459,6739.695,20022.702,29038.291,15948.446,17886.573,148596.905,188602.624,250045.571,110708.4385
PF3D7_0203000,3810.174,8483.099,17980.638,16036.77295,2663.323,724.759,3619.377,12263.905,20524.854,27302.532,24791.577,8053.493,6455.401,4571.407,8015.5614
PF3D7_0203100,2415.444,4834.673,6344.054,19237.250050000002,2256.637,1298.402,2669.444,3346.201,9806.861,16534.98,25944.712,17323.126,20001.454,23960.168,23458.3113
PF3D7_0203200,2825.847,16352.386,15562.505,13847.24325,21692.873,24705.332,15644.612,14331.623,20376.712,16464.828,17802.698,10078.995,14859.899,20337.43,21054.5224
PF3D7_0203300,0.0,1462.609,8030.687,9715.676749999999,5271.984,14480.716,18243.907,28962.4,39828.569,21777.007,21153.117,70646.45,108932.669,329628.369,56665.8291
PF3D7_0203400,48778.858,30811.192,32496.26,18175.2455,2036.016,2416.316,28015.331,86763.422,87322.499,49358.535,39017.608,21233.675,14786.118,16829.768,42322.5074
PF3D7_0203600,0.0,2192.668,2646.878,3359.07055,1620.75,1597.117,4125.73,11019.415,12768.833,8082.61,5821.057,12054.799,7163.062,4065.294,6399.7813
