Gene,Day2_R1,Day2_R2,Day2_R3,Day4_R1,Day4_R2,Day4_R3,Day5_R1,Day5_R2,Day5_R3,Day6_R1,Day6_R2,Day6_R3,S1,S2,S3,S4,S5
PF3D7_0105300,0,0,0,28406.2086,16016.5466,0,39370.9979,47876.6682,25631.9407,160719.9276,32940.5858,50304.781,1246.1839,3017.8462,785.5882,2011.0023,1191.4478
PF3D7_0105400,0,0,0,0,0,0,0,1580.735,1772.7958,2101.4508,3684.0456,1888.8434,1863.8695,752.2794,469.9896,7770.0956,792.0012
PF3D7_0105500,0,0,0,0,4005.1048,0,35362.0969,14799.8987,12053.3828,16239.8386,37766.5502,21782.9558,2492.9705,3521.6718,942.9337,7375.458,2118.6415
PF3D7_0105600,0,0,0,14440.8175,3053.3645,36225.0249,18871.2569,19922.5053,13376.9424,30951.8415,7803.6468,24396.3423,87425.8267,152804.0787,123979.8531,120992.7483,128528.3385
PF3D7_0105700,91631.0838,7642.2967,0,17119.2036,72996.923,238576.6654,52684.0949,52776.542,57520.9953,70139.2811,54561.9869,68583.8644,13180.4294,16459.4744,13436.2356,20815.1527,22019.7236
PF3D7_0105800,20615.3271,0,0,0,34040.3583,112181.607,58240.754,64501.7829,58205.1663,61725.3388,84333.1344,78769.3058,21188.3618,35332.725,20058.9904,30668.0572,26181.01
PF3D7_0105900,82914.8149,0,0,14605.5785,39117.2201,122127.7686,28505.9111,38962.8185,45707.9907,53138.2025,39640.715,53678.2726,12814.9714,19589.9794,7109.075,35026.5504,7351.2593
PF3D7_0106000,0,0,0,7437.9876,3145.3742,7774.2969,23037.5685,5479.401,12686.0178,10209.1845,28400.882,20799.6217,15907.3908,32595.919,17464.0434,23794.3071,23553.9709
PF3D7_0106100,0,0,0,20584.4255,50052.2341,100404.0431,55895.5268,44343.4786,66673.3789,37558.3875,189599.4409,72723.2177,11513.777,25422.3409,11100.819,15483.4233,17555.3327
PF3D7_0106200,0,0,0,0,1755.1508,0,7748.3383,8894.7244,11689.9712,58234.2498,15511.4791,19669.9887,17752.9717,33070.6443,23829.0416,22257.6598,32727.8252
