Gene,ES1,ES2,ES3,ET1,ET2,ET3,LS1,LS2,LS3,LT1,LT2,LT3,M1,M2,M3,MT1,MT2,MT3,S1,S2,S3,YR1,YR2,YR3
PF3D7_0100100,53.615,76.5729,21.2169,9.135,17.9267,10.9402,46.178,77.7345,51.1115,16.5587,25.6972,33.4309,17.8294,132.2311,59.6102,14.602,15.9498,17.4909,56.08,66.5597,57.1644,10.1339,9.0682,14.0585
PF3D7_0100200,13.9393,9.0794,44.5813,13.8281,32.2883,82.0823,11.2586,29.3481,44.0632,2.1522,3.2656,5.5826,3.1313,36.4732,20.6496,80.8499,15.6417,9.6599,23.6035,14.8338,18.6536,31.8407,23.9023,10.2005
PF3D7_0100300,0.1793,0.1791,1.2415,3.2149,1.9568,3.1927,0.4543,0.472,0.7588,0.2123,0.0743,0.0635,0.278,2.1011,2.3315,0.2051,0.4366,0.49,0.133,0.7568,1.2588,3.1405,4.3819,7.2793
PF3D7_0100400,103.5191,47.4715,116.588,33.2667,89.4691,237.1473,72.1454,82.8826,144.4799,38.6599,41.0938,61.366,11.1489,95.044,108.7672,184.5004,64.7515,75.428,78.9564,25.5956,91.9555,14.1249,31.7515,22.7112
PF3D7_0100600,4.8366,1.8115,11.7721,0.4927,3.8807,9.0339,6.1261,14.32,23.722,0.3578,1.5035,0.6426,9.3709,37.994,24.3937,8.2957,1.7664,1.3766,4.4849,2.5513,13.0582,2.2527,0.2592,1.5962
PF3D7_0100700,0,0,0,0,1.1738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3627,0,0
PF3D7_0100800,0,0,0,0,1.1614,1.9174,0,0.3174,0,0.357,0,0,0,0.6424,0.2704,2.5286,0.2937,0,0.2237,0,0.3257,0,0,0
PF3D7_0100900,1.5301,0.3056,0.2648,0,6.2858,3.8918,1.292,2.2551,3.7671,0.3623,2.0295,0.2168,0.6325,0.6519,1.6464,18.4295,11.3257,5.5746,0.454,3.3577,2.9744,0.2281,0,0
PF3D7_0101000,0.6335,0.6327,0.2741,0.2581,1.2198,0.4028,0.2674,0.3334,3.1679,1.8746,1.0502,0.8977,0.3273,2.3616,0.568,7.4848,1.2339,0.577,0.7049,2.1386,0.6841,0.7081,0.2716,1.2543
PF3D7_0101100,0,0,0,1.9024,0.4282,0.6362,0.5633,0,0,0.3948,0,0.2363,0,0,0.299,0.2542,0,0,0.4948,0,0.7204,0.4971,2.0017,0.8805
PF3D7_0101200,0,0.4623,0,0.7543,0.5942,0.2943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3797,1.5874,1.222
PF3D7_0101300,2.7974,2.2351,5.568,6.6105,110.0685,189.7884,1.1811,2.3558,7.1022,3.3113,2.7827,5.1535,0.2891,3.2776,3.0098,132.4245,50.9465,49.1732,4.1503,3.7775,2.1147,0.8339,0.9594,3.1388
PF3D7_0101600,3.3218,4.4235,10.301,0.4511,12.2601,35.5548,2.1037,6.1195,12.1394,1.6384,1.8358,0.9807,1.4302,11.4992,12.4101,25.3221,7.5487,7.3116,1.4374,4.6726,6.2779,5.9823,3.0853,1.4617
PF3D7_0101800,0,0.3806,0.3298,0.3106,0,0.4847,0.9655,0.8024,0.2932,0,0,0,0.3938,0,7.1762,3.4863,0.3712,0,0,0.965,0.4116,0,0,0.2516
PF3D7_0101900,0,0,0,0.2568,0.4045,0.4007,1.5965,0.6635,1.6971,0,0.7837,0,3.5818,3.0208,18.9305,0,0,0,0,2.3936,0,0.2348,0.2702,2.0799
PF3D7_0102200,78.9863,129.0987,173.9804,200.923,92.6593,280.4211,1491.6621,902.5794,960.4039,110.7097,83.7101,77.7947,10207.8969,1750.1739,24065.9402,52.5558,99.308,133.4435,146.3482,136.2398,547.6031,2632.5529,535.0015,2902.4765
PF3D7_0102300,524.7046,303.1801,721.2329,7.8501,59.6368,102.0912,182.9367,182.7679,477.9676,1348.6419,966.8167,996.4369,20.1304,122.6774,160.2767,314.6339,995.9777,1098.5258,357.4781,315.6483,299.8569,23.1323,9.1772,45.6393
PF3D7_0102500,122.3412,235.8366,52.692,40.2679,8.5387,12.9513,2742.3915,1260.7593,619.5435,4.3884,27.9844,31.8623,892.9543,791.0229,2028.6274,4.2225,5.1823,4.4095,824.3426,65.487,1181.6095,441.2233,70.8626,124.9957
PF3D7_0102600,41.7886,66.8374,83.4623,690.7999,1459.1458,1673.4247,38.7392,82.4179,69.9024,51.9454,95.3255,56.9585,181.5888,134.8083,129.4867,254.5403,124.2332,132.078,29.6682,131.0605,56.5465,120.9234,168.7948,240.5348
PF3D7_0102700,62.0385,104.5582,161.7719,86.9719,26.9841,36.0735,398.2326,468.5447,168.3109,28.2634,46.1834,21.4007,2976.0911,611.8955,988.0847,23.1793,31.8003,23.4196,115.206,105.9259,123.1976,493.037,201.0368,166.6183
PF3D7_0102800,33.055,15.4842,46.8328,0.8343,7.135,8.835,5.9281,16.3208,41.8602,63.3666,50.8017,50.7813,36.7261,14.4885,24.1301,21.853,39.3152,52.8861,21.3746,23.0839,21.3238,10.8995,3.8874,6.9507
PF3D7_0102900,508.1298,391.7337,698.5661,1051.1623,1426.7602,1346.545,180.8249,197.6791,514.6445,980.8359,741.0028,770.6634,88.1535,212.9969,201.71,1322.4444,1273.0433,1323.7355,317.4412,531.1922,319.0988,629.252,982.4087,932.5196
PF3D7_0103000,169.4274,66.2462,117.2224,0.9588,3.2097,4.5823,32.7857,67.813,109.8702,49.7906,58.6424,99.9376,4.8632,61.0952,30.7256,7.3995,19.4802,26.5227,87.0636,35.3765,77.6681,5.8088,2.9002,6.3097
PF3D7_0103100,121.4079,96.4434,91.9918,4.5743,18.6677,17.4292,53.7546,53.0591,76.4986,64.5403,83.2171,89.5797,7.5902,40.7736,31.0563,25.0835,38.9098,41.6639,111.5938,76.1576,88.2908,7.343,2.6112,9.1051
PF3D7_0103200,789.3497,712.466,863.9115,431.4169,780.47,714.2016,373.8101,440.4835,685.9861,948.3022,911.8396,851.4649,65.9072,428.5126,287.765,1002.428,1049.7791,968.773,697.4346,708.1427,705.9082,149.1961,373.9453,324.1243
PF3D7_0103300,248.8256,242.4891,297.4917,298.2526,270.6426,229.8199,258.3994,254.1687,276.3149,243.7069,238.7634,204.6745,79.5102,216.3045,279.323,215.7583,235.1459,239.3203,202.4809,205.0927,312.0639,227.348,335.7379,291.474
PF3D7_0103400,402.3812,678.4529,523.7834,50.3274,246.8706,230.957,730.4972,830.6366,610.4314,424.4692,396.342,390.9805,324.555,863.1609,588.068,275.9052,417.1009,485.9718,518.1657,775.313,798.5768,107.3117,38.6511,70.1368
PF3D7_0103500,34.9293,22.0497,60.7791,2.0424,5.4083,8.1041,14.7247,23.0166,56.2491,36.6754,36.3376,54.0336,7.7146,22.607,23.5248,10.9352,34.2261,56.7301,21.916,15.1226,53.2137,4.9278,2.789,4.8925
PF3D7_0103600,162.2722,144.4576,319.9858,24.1451,94.1176,68.5344,68.6793,85.0636,241.1235,119.7395,128.748,141.9404,10.343,127.0914,76.7905,105.5597,114.2045,160.4154,93.3321,283.3123,361.2288,16.005,11.9918,22.6635
PF3D7_0103700,100.6846,58.5741,139.5008,83.7025,99.5521,77.2772,32.9195,50.1407,100.1538,101.1247,116.3436,103.7694,7.7067,74.2043,48.4819,77.6565,94.4268,131.2252,48.2848,59.5126,105.9882,61.2628,86.0332,86.593
PF3D7_0103800,153.2598,344.2618,130.5895,12.8959,11.1384,12.9757,96.8251,171.8597,146.3219,15.6111,83.5471,84.7902,7.8897,169.7509,59.7466,7.831,6.8953,10.8738,161.6818,264.4416,104.1949,17.4833,25.8278,21.1659
PF3D7_0103900,118.3279,102.1158,194.7371,21.2971,42.124,46.4765,41.4701,47.0141,146.167,139.2176,160.5859,170.0261,4.1549,52.0056,48.0266,65.1334,127.9688,162.8363,97.6859,132.7129,113.2102,6.9559,6.8947,22.0842
PF3D7_0104000,32.4265,67.6716,25.9679,0,0.932,3.3851,15.5295,63.1763,48.0335,12.0308,17.6528,19.8899,1.5003,51.5509,27.3387,0,2.8281,6.1713,31.2354,19.6067,28.7469,1.8033,3.7345,5.7499
PF3D7_0104100,49.2227,64.8282,21.8875,1.1087,4.5723,4.1222,50.2143,53.8391,67.7964,8.3372,36.1595,41.1156,13.7289,45.2684,41.7662,4.82,3.9754,6.1963,78.5511,17.428,70.7907,8.6484,1.7841,4.7016
PF3D7_0104200,213.0736,243.0036,154.6658,34.471,148.6127,118.7846,1284.7291,725.0654,388.8019,124.6818,178.2777,158.4194,667.2734,544.7837,1060.2455,161.1278,173.5064,171.053,534.9523,102.0769,449.3319,217.813,45.1534,72.988
PF3D7_0104300,105.4027,180.861,145.4627,208.9106,139.4846,109.7862,659.0631,429.3268,238.9841,91.805,82.9156,79.1689,1609.8961,608.3524,1647.8636,90.0852,86.572,97.494,191.5284,170.9502,393.8048,543.0556,212.16,233.9605
PF3D7_0104400,236.1085,210.8476,251.4741,15.8765,67.3021,77.5101,117.7606,126.4355,189.6404,216.5191,219.3145,196.9066,61.1932,118.2363,127.3428,102.891,166.7828,163.6786,170.8726,123.762,261.9062,37.922,14.0669,30.9648
PF3D7_0104500,236.9304,142.1581,359.2088,508.4443,492.2506,489.7153,81.3864,71.3072,215.8031,515.7074,408.1499,292.2048,43.7852,80.0962,85.35,682.6422,613.2048,539.2173,105.8109,247.567,124.3913,245.0532,424.4381,369.6831
PF3D7_0104600,17.3082,9.8067,41.6232,15.9348,23.3946,17.7251,5.3401,5.7815,29.8975,13.2976,18.3487,18.6318,2.4076,7.8884,7.9833,15.668,23.5833,32.9685,8.8273,10.4644,24.8926,7.8754,7.7051,14.6095
PF3D7_0104700,9.3889,3.2994,40.1748,0.1417,0.4464,0.2211,6.7535,8.2365,34.7797,3.293,4.9005,5.9135,4.3119,8.1487,8.1066,0,2.54,4.4341,6.3201,6.1633,22.3446,0.5183,0,0.9181
PF3D7_0104800,127.1393,98.6451,143.282,6.4828,7.2262,11.5488,141.7057,159.5972,188.1252,89.9078,93.324,86.7892,30.5564,154.9285,139.1648,27.2333,48.6815,52.0887,136.7405,69.5517,134.8722,29.5311,18.4035,21.7964
PF3D7_0105100,60.8897,28.0913,86.9322,0.7556,3.5711,9.237,20.0964,22.4509,50.413,70.979,64.8237,60.4457,2.2357,16.7903,13.5796,28.9808,52.3781,46.1682,41.0424,13.0433,34.0471,3.2247,0,2.0401
PF3D7_0105200,65.6344,120.3573,81.2764,27.4307,210.9425,143.2824,62.5604,81.2297,117.7856,207.6058,144.6222,118.2803,14.295,55.1752,49.0643,209.2724,225.4506,268.2384,92.5895,140.3686,99.1015,8.2474,10.8065,18.9719
PF3D7_0105300,950.5043,677.7696,588.9156,7.0193,3.6285,7.1889,768.5116,1093.5498,733.9721,139.5664,282.7278,430.4938,68.9838,821.7571,291.3239,7.7977,44.8307,52.9581,1382.4616,325.1135,543.6263,60.983,23.7718,27.3616
PF3D7_0105400,412.5459,474.7554,152.6101,6.999,3.1012,6.9974,651.6062,800.2011,468.7635,5.719,50.063,146.2527,40.2166,548.9219,194.9378,11.2535,6.7966,6.6006,854.5954,200.711,242.6199,44.6048,17.4896,21.9677
PF3D7_0105500,48.4656,27.25,64.3117,0,9.6784,10.9571,16.0666,36.6589,51.9263,45.471,41.9619,41.4636,2.2258,37.857,30.5799,46.5239,32.8663,34.9869,40.2142,29.6938,37.9952,2.6753,0.6156,2.3695
PF3D7_0105600,37.6876,44.5286,42.8473,41.0812,41.4249,37.6424,24.0583,31.5491,36.8917,49.1798,43.6975,35.6055,5.8543,38.5688,17.5953,40.9972,48.6997,44.4216,34.6578,48.3012,30.858,20.192,27.7364,38.5861
PF3D7_0105700,38.1885,35.8721,63.8228,0.8725,2.0826,3.1771,12.3287,32.3114,48.1025,39.5589,37.4396,35.1974,2.5481,26.0924,16.9314,6.8017,19.5917,29.5219,26.9573,24.2895,92.2242,2.1761,1.1962,3.3836
PF3D7_0105800,375.5468,540.9984,291.3676,5.758,9.4835,13.8874,304.501,501.1706,424.3456,208.9174,287.6183,310.6479,34.3507,456.2912,179.0544,43.6429,134.899,168.5736,493.7434,477.98,384.2386,34.8854,8.6055,24.3792
PF3D7_0105900,57.0242,42.1614,62.2852,1.0151,3.1983,4.7524,30.5036,39.0485,60.8033,39.4847,41.5342,52.0757,2.8604,42.3111,26.6817,16.3539,28.1729,28.9942,67.4574,24.6481,53.3621,3.61,1.3053,2.832
PF3D7_0106000,295.8268,323.0146,176.0413,4.2216,8.5509,12.3026,289.9711,307.6347,307.8013,104.5025,142.3349,186.0889,29.7165,247.9808,130.2534,19.182,47.8813,67.4077,448.1593,155.1774,240.4643,24.5823,6.7986,17.2366
PF3D7_0106100,213.4023,199.1066,244.2699,167.3784,230.6346,223.6315,146.4308,194.0533,225.5643,237.6006,245.6264,265.0998,21.1646,160.8176,112.9866,206.0971,204.417,241.0924,209.3885,172.537,190.859,71.665,137.1398,144.1999
PF3D7_0106200,92.5077,81.5494,84.1412,0.7692,1.5148,0.4502,43.8393,68.5659,86.6044,15.6434,25.6271,56.0165,3.9017,62.5896,24.1218,2.1587,8.0442,9.0274,70.5504,57.7602,50.7163,8.9689,1.4163,8.5668
PF3D7_0106300,670.4015,676.7181,608.1741,428.5482,348.8054,362.1227,293.925,504.0584,529.6944,571.9147,713.2664,673.013,134.6246,498.871,265.8883,334.1336,431.7969,463.3477,564.8834,651.567,600.1114,498.0976,391.3652,433.8321
PF3D7_0106400,112.288,84.7037,161.8815,606.0547,743.647,770.7671,51.9815,48.1169,112.2052,230.4953,195.3641,152.3869,75.3516,84.426,79.8338,710.7598,493.7898,419.6746,53.1149,160.775,83.6016,499.7059,699.276,567.2748
PF3D7_0106500,67.3333,51.7909,81.4684,0.8451,1.229,1.3189,17.3129,31.158,73.4088,47.1236,62.1657,81.4574,3.6273,31.4413,21.8888,3.5881,17.4821,28.193,51.2517,38.649,95.9788,6.5992,0.8892,5.3183
PF3D7_0106600,65.2406,56.0858,70.3958,0.6729,0,0.7877,51.9513,107.8003,56.2294,7.8204,4.4498,15.214,12.3737,127.9867,39.2445,0.6295,0.4021,1.5043,48.3972,40.0772,75.3616,7.0773,1.0621,3.543
PF3D7_0106700,180.2622,167.5367,318.9358,223.4867,344.3215,281.856,108.1643,206.8597,235.0747,224.782,167.7309,186.9083,46.2043,228.4756,118.6366,224.5039,214.9319,265.8039,132.6802,205.6028,291.7068,254.8349,212.1161,258.9786
PF3D7_0106800,155.6148,125.3131,96.0036,4.8628,21.6075,26.172,48.7102,83.4386,95.8261,109.9433,126.0816,177.0496,6.1664,50.1986,32.6527,60.6541,65.421,79.0196,128.7198,101.6351,72.8737,8.0959,2.3614,8.7865
PF3D7_0106900,72.1554,77.9654,114.4439,1.1268,6.5357,6.6342,35.6653,31.3627,99.7115,59.0742,79.6134,74.7305,2.3381,34.2774,28.967,14.7572,36.2386,56.6741,85.9786,50.8197,84.8476,5.3396,1.8322,6.1398
PF3D7_0107000,622.5741,492.6128,512.9354,3.3843,18.2798,22.1322,145.6202,215.6868,302.636,451.5843,489.2048,538.1044,32.6976,215.4978,99.6564,64.6756,211.6786,241.0096,338.0191,433.6452,287.4775,21.2225,7.1215,20.8853
PF3D7_0107100,32.4966,16.4359,62.9155,0.1697,9.3597,9.8017,6.1564,19.0783,29.0082,47.3439,30.3921,28.192,3.8746,11.9817,9.3389,35.5703,29.8231,36.9972,11.7443,10.7246,27.2208,1.8628,0.893,2.0624
PF3D7_0107200,92.9624,43.7107,98.8349,0.9111,12.5083,13.3049,18.8826,19.8415,66.2373,81.8696,91.3627,67.6807,0.8253,26.371,12.6032,59.5416,71.4036,73.4679,29.9783,57.0248,42.2623,3.69,1.0956,2.5302
PF3D7_0107300,23.7645,74.7201,45.5117,1.0758,4.8022,3.3579,21.5532,72.2716,61.2835,8.8559,30.2795,12.9408,5.457,70.5477,27.0295,7.3805,18.6444,14.029,29.5452,62.957,51.3289,4.0994,1.8866,4.5023
PF3D7_0107400,74.1562,58.1769,83.8927,11.3849,13.9349,14.214,36.8445,39.598,84.835,84.4727,89.6255,70.5161,27.0974,50.1399,38.9307,10.6505,48.7761,46.5937,54.3732,49.1628,48.9794,31.7155,5.8972,33.6234
PF3D7_0107500,102.9562,151.904,167.7556,583.2828,661.9486,530.0289,674.3384,582.5975,271.0644,270.0326,197.0772,172.5425,1363.1185,637.82,1420.8047,551.5856,346.4141,370.6694,180.9666,147.4068,226.1045,955.7759,600.9582,721.2692
PF3D7_0107600,2.9301,4.4221,5.2405,0.5306,0.1672,0.414,4.1236,9.1165,10.47,1.3874,1.7272,2.2146,4.1716,13.0388,8.1152,0.546,0.8244,1.2454,4.4439,7.8586,10.9697,1.3586,0.5583,0.8166
PF3D7_0107700,26.5942,16.8771,61.133,0.4515,8.7129,9.1596,11.9298,7.5822,55.627,31.4802,34.6759,44.9501,2.0038,9.4423,11.6742,17.9499,36.4227,61.3118,26.5099,14.2621,25.7286,3.303,0.475,6.3995
PF3D7_0107800,104.7414,117.5181,175.6223,13.4044,77.0358,54.486,29.2686,51.6853,140.8925,126.9652,144.2243,133.2676,7.545,48.631,41.1627,72.3591,114.3521,159.9143,67.3026,177.2979,142.5722,4.5031,7.9872,14.6242
PF3D7_0107900,88.7058,61.5534,86.9404,59.2205,168.0712,142.7082,24.3661,31.1271,59.4761,173.7402,133.4833,110.0572,1.8406,27.321,28.1092,166.2001,167.2333,154.7723,62.3688,81.4819,51.5537,4.7786,25.3512,36.2109
PF3D7_0108000,1024.2895,718.9253,786.0357,243.6165,310.5117,302.549,296.6098,341.5007,593.2666,737.8924,829.3602,923.1886,76.5484,305.2174,222.4395,427.5648,544.0778,492.5034,666.2422,708.0156,460.2301,170.9221,194.7277,220.2951
PF3D7_0108100,45.4679,37.9527,49.6879,2.5692,8.4146,7.4915,12.3307,21.836,39.5773,35.1607,37.141,34.9213,6.8589,19.7963,19.3424,17.9626,24.0804,29.4721,26.2202,18.7672,46.0564,2.9679,0.5691,3.943
PF3D7_0108300,322.855,481.948,445.9865,740.44,1166.2112,837.3273,416.7846,566.4006,524.757,514.7637,416.2459,432.2899,1000.7319,791.1467,961.7508,656.4616,548.9675,673.9971,318.1059,669.9813,703.5094,897.6151,714.0654,837.1069
PF3D7_0108400,49.1253,36.9863,81.3203,44.0339,66.299,54.2231,62.5413,61.527,56.6925,48.3099,62.0244,44.8939,383.453,78.3546,318.3817,57.4207,54.5913,59.7723,32.7982,31.7871,41.626,85.8895,51.9461,52.7934
PF3D7_0108500,63.5819,201.2193,73.301,1128.2789,276.0717,297.0685,3389.7421,2101.6276,345.3443,66.7979,83.1827,46.0019,18249.1841,3021.882,9458.7359,135.9505,109.5906,79.0795,314.5829,159.3848,193.6861,3875.6505,2077.2465,1785.2915
PF3D7_0108600,127.0308,294.9066,191.9611,1388.8011,332.4128,371.4551,4087.9266,2643.3167,468.7554,142.3661,177.9496,111.1068,22577.2635,3842.744,11387.0293,186.9318,172.3437,138.4366,404.9108,244.9333,276.6198,4714.4332,2520.3658,2170.6008
PF3D7_0108700,153.4271,171.9245,191.3764,99.1224,136.1687,108.8658,53.6793,97.976,140.9564,143.652,170.8833,166.8146,13.8022,109.253,62.8915,75.7394,85.7736,109.5549,112.2797,171.5702,213.1333,44.7122,93.8198,99.4282
PF3D7_0108800,89.5118,79.4075,117.3808,30.0344,31.9724,35.6228,48.1069,67.402,88.9597,71.5523,91.9233,86.5563,7.2908,74.4801,36.447,28.6587,54.7678,72.8949,72.0269,73.9476,67.3265,12.6347,25.0097,22.9372
PF3D7_0109000,224.9349,299.6182,132.6006,27.9034,6.2116,8.52,1646.3505,1594.0585,531.0037,13.3644,34.7625,59.4271,618.1946,1075.0471,909.0754,5.2963,8.0957,10.5091,794.6456,103.77,410.1332,216.7181,47.5482,69.8511
PF3D7_0109100,29.5509,80.2518,52.0153,3.939,0.9367,1.0439,273.018,208.926,167.3571,3.5628,10.0557,14.7347,89.3457,208.5783,349.3574,1.182,1.3324,3.572,84.5067,28.9436,112.2881,40.8488,4.0663,14.3274
PF3D7_0109200,104.6832,126.7155,131.7194,28.678,62.0141,71.5516,41.642,36.3403,105.8908,124.4467,142.525,103.0823,4.8643,49.9019,27.9375,83.2178,112.2138,109.841,67.8458,145.2983,61.2468,7.3501,18.4501,20.5655
PF3D7_0109300,53.8323,49.5098,104.2338,4.2604,14.2939,13.1746,23.3821,27.3156,83.2798,40.8008,59.072,54.3341,3.0014,24.9571,24.1338,20.223,34.7008,57.496,35.0502,31.7058,33.8779,4.1848,2.9884,5.1124
PF3D7_0109400,140.403,147.5637,205.747,21.1194,120.2496,127.9441,83.2308,104.1927,165.9558,242.292,233.1163,171.0613,22.142,104.3374,91.6723,239.8829,283.6186,286.7977,119.142,165.52,120.9937,17.6411,12.9475,27.6126
PF3D7_0109500,121.2461,96.0563,91.9937,180.5114,150.6995,163.6917,57.8052,58.6164,93.6528,146.6605,117.693,112.0425,30.3878,64.9578,58.787,131.0136,124.1877,115.2607,76.3537,161.3289,53.365,71.8519,135.1591,124.4147
PF3D7_0109600,44.3237,37.8121,50.7444,44.0189,48.0101,52.8436,24.5615,31.1066,43.6917,84.1658,76.5473,50.0536,15.7441,45.2442,35.1881,95.7327,118.2614,118.1661,45.8957,46.7611,37.8949,86.3608,51.4607,62.167
PF3D7_0109700,36.0072,71.4063,59.1831,177.9472,115.7275,123.3706,31.9357,39.5412,48.4295,50.9018,68.0721,53.78,25.1618,69.5322,58.7635,80.9627,65.8473,60.3999,23.0599,134.24,50.9153,222.7711,195.6672,195.0856
PF3D7_0109800,165.7134,183.1287,188.806,238.4357,215.413,214.3082,65.0201,79.0334,126.3824,181.9169,227.2662,170.0466,34.9767,118.7553,84.576,154.939,134.6751,157.3602,97.8209,349.314,104.12,181.4712,157.0692,202.9759
PF3D7_0109850,67.8456,54.0406,68.3332,9.3139,15.5483,12.3352,17.7091,31.6816,60.5073,29.9147,54.5899,61.0757,4.0092,32.3911,18.3343,15.028,15.6254,22.4444,48.3071,31.0644,46.204,4.7668,21.1277,11.0047
PF3D7_0109950,183.8473,199.9205,124.326,21.2848,42.3989,44.2366,62.5629,93.3315,126.3727,130.5152,204.2447,183.4779,11.9383,80.2562,47.9665,61.075,113.2531,96.7628,114.025,211.3394,93.0342,9.7326,10.9821,18.4007
PF3D7_0110000,166.1895,179.2695,205.1568,55.7624,71.4643,74.0738,67.4137,66.3205,165.0474,205.4013,244.2403,168.3601,21.3258,107.5984,111.0272,113.8523,155.7723,139.9879,133.5574,258.0653,105.8673,42.9009,47.2624,60.9391
PF3D7_0110100,70.6854,62.2777,120.8819,52.3715,59.9654,53.8915,23.2855,26.3045,86.5097,81.2737,87.5202,70.4222,6.8622,31.6508,31.0837,64.2656,82.2156,77.0921,35.4028,84.6422,67.9492,38.4162,66.9726,72.2107
PF3D7_0110200,103.0346,50.3091,164.2154,56.673,70.9122,72.0661,27.5508,29.2254,105.6943,75.2114,89.208,81.3212,6.2107,22.2543,30.0247,73.0891,66.062,65.1692,41.8263,50.2439,63.3632,24.5277,26.9924,40.0481
PF3D7_0110400,324.0498,203.217,379.5227,264.8513,241.7052,276.3787,104.8942,133.3297,189.8354,281.718,263.1845,295.0652,46.7233,132.8342,95.0343,272.5971,245.5179,251.9682,152.2041,178.7059,171.4341,204.3475,259.6972,246.4552
PF3D7_0110500,48.0252,57.9255,71.9687,39.7595,86.7668,69.5617,25.6962,42.588,64.0207,81.8522,83.6077,84.4019,8.0332,42.4377,36.9158,58.365,71.0307,107.8858,30.8838,55.9433,105.7178,17.3418,14.2952,28.1199
PF3D7_0110600,131.4144,219.379,156.2233,147.9946,109.2801,111.5824,252.0741,271.9584,138.4248,111.1215,145.4295,103.0417,162.0157,404.2633,236.6432,120.5094,100.0687,97.6697,141.8661,254.6032,241.9542,258.3514,193.9251,150.3103
PF3D7_0110700,172.6958,200.5321,318.0558,23.6597,47.958,69.9986,144.0676,148.7438,235.752,389.1446,291.6483,220.0711,39.8731,151.5094,131.1001,227.4612,448.7568,426.994,125.9354,304.9182,219.2883,58.7795,18.6499,34.6449
PF3D7_0110800,141.6462,232.2776,179.3742,239.0113,304.7538,313.4389,337.5625,321.6916,238.9591,224.3012,234.7353,177.4808,86.3192,268.7995,228.4051,329.6597,286.1497,295.7786,200.3987,284.443,199.7678,243.5911,153.8708,227.2387
PF3D7_0110900,43.6898,24.106,86.7237,102.5724,142.5712,139.6782,25.2825,16.403,43.9557,83.5423,63.8235,62.9965,10.1026,23.1054,21.3674,166.0584,144.9093,116.0385,41.2494,32.2325,31.0152,31.192,95.6104,89.7366
PF3D7_0111000,113.6842,122.7471,80.629,2.4652,4.3388,5.2599,57.9164,132.6141,132.5962,68.0967,90.9877,83.433,9.7202,105.3817,43.2312,9.6931,32.4101,41.0729,113.2284,75.9212,164.7863,8.7713,3.7691,7.8623
PF3D7_0111200,41.4459,38.8741,48.3431,0.2937,5.552,3.4374,13.6945,17.8315,47.9688,47.7806,38.241,33.1975,2.2345,18.8101,6.786,11.8135,49.4909,28.2295,19.7842,53.5347,20.6282,2.6857,0.309,1.903
PF3D7_0111300,153.1157,184.6709,131.5355,3.3165,40.4477,35.7845,36.5594,56.6588,115.3176,205.0861,221.2794,242.8397,9.789,60.3931,42.5957,76.815,143.7233,187.2002,106.8181,174.358,193.5479,7.321,2.1057,11.2548
PF3D7_0111400,139.6842,156.3656,223.2315,2.2765,24.7313,23.0188,39.0216,63.1075,165.8581,113.8142,155.3558,136.3383,7.0967,73.5244,38.1997,50.1351,83.4386,111.5331,89.8916,219.0837,147.8345,6.6794,1.8962,8.5281
PF3D7_0111500,370.2828,263.4927,220.8579,7.2381,38.0385,52.2649,410.2848,337.6027,329.4539,256.5846,222.1081,296.2806,36.9884,227.3523,165.8247,121.477,206.0717,209.6207,529.3083,104.1721,218.484,31.5161,11.1393,25.4637
PF3D7_0111600,26.4908,11.5327,13.814,28.7821,42.7277,48.3731,9.4638,10.0107,17.2454,37.7901,41.386,36.3376,3.1585,11.2143,8.831,35.21,43.9921,55.6794,14.8647,7.7393,9.903,2.0247,15.724,11.8807
PF3D7_0111700,0,0,0,0,1.7782,0.9786,0.5198,0,0.2368,0.3644,0.5103,1.3086,0,0.6557,0.276,0.2346,1.4989,0.5607,0,0.5196,1.6621,0.2294,0,0
PF3D7_0111800,109.0839,104.4218,216.7994,64.8356,168.4354,130.3953,41.1838,60.2856,144.0499,153.7603,141.3025,161.7082,8.8508,70.951,48.6182,146.4518,163.5293,194.1291,73.9897,129.944,141.7327,10.5503,39.1458,40.8819
PF3D7_0111900,464.0135,346.7542,397.308,101.8677,196.5746,192.9932,185.3048,172.4012,285.1747,482.0597,496.8778,430.1258,21.4355,195.9533,104.7461,298.7879,358.3393,335.6119,337.3332,279.2051,219.8989,73.2256,64.121,91.5188
PF3D7_0112000,55.7444,30.7385,63.8691,62.5707,55.9396,61.9042,13.2593,18.3486,41.6794,96.4697,77.4507,87.2305,5.8414,16.2239,16.473,48.5989,76.6185,88.529,31.5678,41.3492,32.2203,35.2223,30.9648,47.7792
PF3D7_0112100,3.7802,12.8363,8.5055,33.2676,17.4701,15.8638,18.5134,27.8557,36.6445,0,10.6543,5.357,60.9358,63.6176,101.6817,4.6106,0.7363,10.3289,1.1217,3.1904,8.9812,50.1427,25.9279,38.4233
PF3D7_0112200,85.78,76.6395,142.4211,24.4909,169.0218,173.069,21.0587,34.9568,99.5558,221.8412,193.144,186.1932,5.8526,30.067,31.7808,227.7516,215.3072,278.9817,50.4192,88.2805,75.5211,4.3229,20.0506,15.7371
