Gene,ES1,ES2,ES3,ET1,ET2,ET3,LS1,LS2,LS3,LT1,LT2,LT3,M1,M2,M3,MT1,MT2,MT3,S1,S2,S3,YR1,YR2,YR3
PF3D7_1114700,450.8529,392.3589,294.0496,218.2089,212.5974,239.4411,201.4481,297.9884,316.9183,363.3997,361.3656,411.9248,38.6757,289.4139,140.257,232.5543,266.5035,314.8077,351.9404,312.6364,343.8828,271.2538,203.5007,239.8723
PF3D7_1114800,43.6458,75.9514,42.3806,2.8935,1.4245,1.0348,28.6091,83.4819,68.2969,9.8075,22.567,25.4745,1.6817,78.165,28.6541,2.0301,5.1873,4.3121,55.2065,55.6921,52.8872,5.7333,3.6786,5.6639
PF3D7_1114900,48.4065,90.9727,44.5529,1.1567,0.7897,0.8725,38.9966,66.7483,91.3757,3.4727,17.7297,40.7364,4.8895,55.8442,24.65,0.7575,0.5069,1.2929,67.7466,63.7781,113.5977,4.9014,2.1502,3.6853
PF3D7_1115000,158.4371,119.014,165.7453,3.0687,19.338,22.4062,62.9173,59.7491,141.1417,158.57,172.145,154.004,8.0608,67.6183,38.8311,64.7971,116.3181,104.6144,103.365,84.2276,109.8085,8.0183,1.3838,6.214
PF3D7_1115100,51.9249,26.747,51.7602,9.0929,6.303,4.3517,12.8144,38.2162,60.0951,17.6117,17.6369,18.3433,4.766,30.9026,22.4115,2.8354,8.4043,10.0278,23.7296,27.6256,45.3108,14.1918,2.6788,19.8366
PF3D7_1115200,141.2378,200.809,83.1822,153.5392,82.5839,83.6388,126.3421,159.7492,175.1988,77.7784,116.3029,123.399,21.8562,131.9762,73.2783,32.772,44.795,41.8918,211.5905,120.1545,144.0142,80.5361,94.5888,133.2031
PF3D7_1115300,19.4054,15.8212,46.4964,191.476,187.1776,163.7638,22.5167,22.7906,40.0158,45.3162,46.9459,28.3418,74.7523,39.652,73.1486,119.4491,101.9533,85.3661,15.3747,42.7834,24.3783,89.7178,224.0981,179.1404
PF3D7_1115400,613.1389,768.0122,424.9401,371.2705,403.0642,381.2273,588.7515,471.1167,435.9077,624.9681,706.6685,668.3817,2166.9611,590.3291,1090.7567,358.2562,438.2353,430.9636,514.5147,714.7145,401.3826,379.3425,416.5445,400.2587
PF3D7_1115500,296.2703,242.11,293.3537,78.0299,39.1373,61.656,177.5919,200.6192,216.0559,237.3519,254.9492,264.454,492.2466,184.966,334.524,59.3796,114.711,149.1105,192.3832,162.7706,142.1383,142.9188,60.4519,92.3667
PF3D7_1115600,1189.2762,1295.8525,711.704,207.4259,164.8458,185.0534,429.0152,595.1688,646.3542,539.6874,873.9529,1016.6174,462.813,470.0396,457.3984,174.0899,217.8008,233.158,940.3389,1158.0426,502.39,156.2091,187.3184,182.84
